# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20230601
# Data de término: 20230630
Nº dia,Novos usuários
0000,22286
0001,20189
0002,8543
0003,8117
0004,18079
0005,21824
0006,21432
0007,12947
0008,10437
0009,13938
0010,16919
0011,20131
0012,12789
0013,13011
0014,18786
0015,17572
0016,8060
0017,8089
0018,12196
0019,14877
0020,18549
0021,19837
0022,15881
0023,8757
0024,14864
0025,17364
0026,13169
0027,14639
0028,13079
0029,11019

# Data de início: 20230601
# Data de término: 20230630
Nº dia,Usuários recorrentes
0000,21490
0001,20662
0002,14606
0003,13755
0004,22741
0005,20600
0006,20707
0007,16033
0008,18063
0009,14459
0010,15378
0011,20500
0012,21746
0013,22253
0014,21869
0015,21468
0016,14398
0017,13820
0018,19177
0019,20896
0020,19630
0021,19312
0022,17486
0023,14516
0024,13456
0025,18544
0026,20130
0027,22085
0028,19743
0029,19138

#  
# Data de início: 20230601
# Data de término: 20230630
Coorte,Dia 1,Dia 7,Dia 30
0,0.023276817603349893,0.007143150375631183,0.0030378915390615376
1,0.01984834968777877,0.008296164139161464,0.001694915254237288
2,0.036218724778046815,0.01735270379338176,0.0049435028248587575
3,0.0416156670746634,0.014465338822743963,0.004450873483921219
4,0.028343235609233467,0.010226940683744034,0.004529073731372358
5,0.022671412831595898,0.008771929824561403,0.003517247224341046
6,0.020956151297388013,0.008520160075734756,0.0029691466930590817
7,0.028397706073378014,0.010018655427347475,0.003109237891245768
8,0.03461210571184996,0.014236999147485082,0.00392156862745098
9,0.022170747849106553,0.0066181336863004635,0.0033090668431502318
10,0.021879164815637495,0.00866281652598845,0.0033873833851621503
11,0.024828727757598052,0.008460159087774151,0.0038162674145937746
12,0.03983449049722982,0.015078196226944385,0.0071533768146433835
13,0.03990753960160446,0.013121218301720035,0.005234890203276906
14,0.027233330050231458,0.010194031320791884,0.00241307987786861
15,0.020823423709106285,0.009407536599545479,0.0034353363987104277
16,0.042659835152595235,0.016261973713521942,0.005235018935174872
17,0.03186735653809972,0.012229539040451553,0.005879586077140169
18,0.04223896027174716,0.014251956874907695,0.006276768571850539
19,0.03174412312872001,0.012445139181145915,0.006553237539830457
20,0.02292987321711569,0.009409667194928684,0.0027238510301109352
21,0.020876128600773897,0.009840921033774423,0.001815315530502078
22,0.02097360424238813,0.009831376988619436,0.002442948221414527
23,0.032667140103479764,0.01602921781475094,0.004768185046160089
24,0.02311654861558274,0.010753380553766902,0.00334835801674179
25,0.029969549655430312,0.008921416742347348,0.0035258293712270954
26,0.03455312202421439,0.013263501564413005,0.006189634063392736
27,0.031647871953437615,0.013883836546623014,0.00569904207590639
28,0.03123073762071091,0.01260187658379563,0.0029450037668652834
29,0.03321962313190383,0.013888888888888888,0.003167641325536062

#  
# Data de início: 20230601
# Data de término: 20230630
Coorte,Dia 1,Dia 7,Dia 30
0,369.1832229580574,193.02189781021897,99.52173913043478
1,107.19047619047619,129.6766917293233,0
2,123.66917293233082,122.7936507936508,0
3,103.8092105263158,187.0810810810811,0
4,175.22544642857142,173.57988165680473,214.51666666666668
5,139.53472222222223,188.6024844720497,239.67857142857142
6,123.21483375959079,163.60714285714286,149.39622641509433
7,304.671686746988,164.6315789473684,0
8,129.0344827586207,155.83870967741936,0
9,154.4214559386973,138.09459459459458,0
10,111.46753246753246,198.46456692913387,149.62790697674419
11,217.65,182.97278911564626,189.77777777777777
12,137.5174825174825,131.8132530120482,139.265625
13,149.43141592920355,217.12925170068027,202.92156862745097
14,158.3810623556582,199.3483870967742,0
15,125.46979865771812,150.9448818897638,83.45652173913044
16,187.29430379746836,147.24324324324326,0
17,108.98672566371681,156.57954545454547,0
18,163.96514161220043,154.6883116883117,207.06666666666666
19,141.20763723150358,198.07831325301206,106.01428571428572
20,147.7568306010929,190.98692810457516,129.32432432432432
21,149.78333333333333,180.73376623376623,0
22,138.4894366197183,179.90551181102362,0
23,146.784,175.08264462809916,0
24,114.5728813559322,192.74100719424462,148.2325581395349
25,335.8548752834467,855.515873015873,233.92
26,125.75064935064935,171.72972972972974,137.98245614035088
27,132.42,136.79393939393938,209.45283018867926
28,150.02832861189802,158.99324324324326,0
29,148.25454545454545,138.8,0

#  
# Data de início: 20230520
# Data de término: 20230630
Coorte,Usuários
0000,1
0001,0.026633597847724327
0002,0.016285805720236708
0003,0.013703942765088439
0004,0.01258793792680744
0005,0.011930268003883642
0006,0.011627875441384659
0007,0.010105064465212652
0008,0.006907568221389325
0009,0.006066835536414574
0010,0.005570532048187543
0011,0.005548835720833356
