# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20230701
# Data de término: 20230731
Nº dia,Novos usuários
0000,8213
0001,15701
0002,13630
0003,21567
0004,23498
0005,21100
0006,19732
0007,17040
0008,21395
0009,21266
0010,24181
0011,16598
0012,14750
0013,21759
0014,14832
0015,9464
0016,22927
0017,21976
0018,18780
0019,21755
0020,19037
0021,16488
0022,17563
0023,19882
0024,17831
0025,20236
0026,18978
0027,25027
0028,18733
0029,17878
0030,24520

# Data de início: 20230701
# Data de término: 20230731
Nº dia,Usuários recorrentes
0000,15216
0001,14708
0002,17873
0003,19782
0004,22326
0005,19537
0006,19688
0007,13927
0008,14960
0009,18820
0010,22441
0011,22848
0012,22504
0013,21653
0014,15037
0015,14892
0016,19899
0017,26479
0018,22179
0019,22021
0020,18232
0021,13207
0022,14756
0023,17522
0024,19588
0025,21401
0026,20755
0027,21457
0028,13662
0029,14505
0030,20736

#  
# Data de início: 20230701
# Data de término: 20230731
Coorte,Dia 1,Dia 7,Dia 30
0,0.0410152066823731,0.014457057185692868,0.006104090811736989
1,0.01954832442933463,0.008013598834385623,0.002549781447304517
2,0.03422251138581653,0.013207547169811321,0.005595315549772283
3,0.02588968361929001,0.008907806397823511,0.0026328491816227126
4,0.024579864928537774,0.008913145908591174,0.0030626668760797863
5,0.021539974080529115,0.008982437324038075,0.0024131921169057513
6,0.019812852095865557,0.009643846080397213,0.0024348324262389
7,0.022131559827865646,0.007209523277259263,0.002738501089811658
8,0.01831680967412084,0.006979949317565464,0.00306762103765616
9,0.025545709963259132,0.00946617678841582,0.003674086881348606
10,0.023691627942408776,0.009941342271653842,0.00297097585129885
11,0.03099730458221024,0.0122911051212938,0.005175202156334231
12,0.03287291151456662,0.013390433681162916,0.0038603052053803005
13,0.021686848656174845,0.0086916163874942,0.0025737310661997385
14,0.02328492739108663,0.007198297446169254,0.0035052578868302454
15,0.03496163931242109,0.015441390696319316,0.005826939885403516
16,0.02913762360188037,0.007740314475603825,0.0038093694277840815
17,0.03299108564151544,0.010187838268067495,0.004974530404329831
18,0.028605200945626477,0.012151300236406619,0.004633569739952719
19,0.01928009929664874,0.009805544062887878,0.002068680182043856
20,0.018027260735746738,0.008207533343104206,0.0017587571449509014
21,0.021605470321208988,0.006205826581623858,0.003275297362523703
22,0.019715394566623544,0.007658473479948254,0.0039327296248382925
23,0.020368711396105427,0.007826865953133104,0.0033004856428874535
24,0.027020018670262422,0.008246032569235557,0.004148947204646821
25,0.025232584524619923,0.008304969366916269,0.0034490583163149535
26,0.025842424242424243,0.0075151515151515155,0.0024727272727272727
27,0.014852220406950839,0.00779741571364919,0.0021164414079904944
28,0.018565486456325456,0.006188495485441818,0.0017753880491021608
29,0.020442571127502633,0.01101159114857745,0.0038461538461538464
30,0.020029201452585077,0.00782449178241174,0.003706338212721351

#  
# Data de início: 20230701
# Data de término: 20230731
Coorte,Dia 1,Dia 7,Dia 30
0,175.90526315789472,170.49,0
1,110.78490566037736,174.57943925233644,0
2,166.56103286384976,209.14110429447854,182.44230769230768
3,200.81449893390192,210.40880503144655,210.390243902439
4,117.8991935483871,253.17469879518072,106.93617021276596
5,149.07258064516128,155.75886524822695,0
6,121.76576576576576,181.7687074829932,0
7,211.009375,116.7156862745098,0
8,130.21428571428572,157.8560606060606,184.2888888888889
9,215.7063829787234,167.4090909090909,177.65
10,123.5072463768116,119.3671497584541,107.27272727272727
11,118.2309468822171,103.24691358024691,77.85185185185185
12,158.76525821596243,159.77300613496934,166.375
13,103.89603960396039,163.94375,179.7111111111111
14,109.90940766550523,178.22471910112358,134.71794871794873
15,119.07581227436823,197.4047619047619,0
16,151.63139931740614,153.125786163522,145.11666666666667
17,137.91917591125198,120.75773195876289,147.33333333333334
18,131.4946466809422,184.9738219895288,211.15873015873015
19,127.97540983606558,133.53703703703704,0
20,118.81099656357388,139.0076923076923,0
