# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20230101
# Data de término: 20230220
ID do país,Usuários
AE,86
AO,474
AR,641
AT,97
AU,209
BE,172
BO,85
BR,1340016
CA,821
CH,514
CL,190
CN,101
CO,166
CV,99
DE,1240
DK,407
ES,1096
FI,54
FR,1206
GB,1426
HK,48
HU,477
ID,600
IE,1310
IL,72
IN,361
IT,1147
JP,435
KR,50
LU,71
MX,189
MZ,230
NL,997
NO,6601
NZ,202
PE,89
PH,55
PL,62
PT,6849
PY,314
RU,85
SE,1592
SG,46
TH,46
TR,54
US,14008
UY,182

# Data de início: 20230101
# Data de término: 20230220
País,Usuários
BR,1340016
US,14008
PT,6849
NO,6601
SE,1592
GB,1426
IE,1310

#  
# Data de início: 20230101
# Data de término: 20230220
Cidade,Usuários
Natal,320757
Sao Paulo,243701
Fortaleza,53764
Parnamirim,49983
Rio de Janeiro,42814
Recife,42271
Brasilia,22182
Belo Horizonte,19531
Mossoro,19063
Curitiba,16233
Salvador,15593
Porto Alegre,12667
Joao Pessoa,10039
Acu,9306
Campinas,9115
Caico,8556
Goiania,8325
Manaus,7950
Currais Novos,7797
Belem,7614
Ceara-Mirim,7313
Sao Goncalo do Amarante,6898
Sao Jose de Mipibu,6777
Macaiba,5708
Ashburn,5527
Santa Cruz,5252
Maceio,5157
Florianopolis,4882
Campina Grande,4704
Sao Luis,4192
Guarulhos,3789
Teresina,3747
Campo Grande,3690
Cuiaba,3574
Vila Velha,3398
Sao Jose dos Campos,3327
Aracaju,3317
Uberlandia,3312
Maringa,3065
Santo Andre,3055
Joinville,3021
Feira de Santana,2931
Sao Bernardo do Campo,2832
Montes Claros,2728
Palmas,2587
Caxias do Sul,2529
Anapolis,2496
Ribeirao Preto,2438
Sao Miguel,2433
Rio Verde,2391
Lisbon,2365
Osasco,2359
Sorocaba,2355
Juazeiro do Norte,2349
Niteroi,2322
Londrina,2320
Limoeiro do Norte,2253
Sete Lagoas,2201
Santos,2161
Cotia,2088
Jundiai,2033
Cachoeiro de Itapemirim,1979
Cascavel,1979
Jaboatao dos Guararapes,1906
Presidente Prudente,1894
Blumenau,1879
Machado,1864
Petropolis,1858
Sao Goncalo,1828
Juiz de Fora,1813
Dracena,1771
Duque de Caxias,1749
Contagem,1713
Porto Seguro,1707
Nova Iguacu,1699
Rolandia,1664
Sao Mateus do Sul,1640
Ponta Grossa,1621
Praia Grande,1606
Guarabira,1586
Vitoria,1561
Xangri-la,1549
Concordia,1481
Macapa,1461
Porto Velho,1431
13635,1423
Paulista,1413
Petrolina,1401
Jequie,1396
Caratinga,1383
Serra,1380
Franca,1366
Sao Francisco de Paula,1351
Sao Jose do Rio Preto,1348
Santa Rosa,1336
Campos dos Goytacazes,1313
Olinda,1313
Bauru,1285
Porto,1281
Mogi das Cruzes,1273
Dublin,1267
Itajai,1251
Barueri,1219
Guara,1213
Vitoria da Conquista,1203
Piracicaba,1196
Diadema,1192
Domingos Martins,1125
Itaocara,1121
Monte Aprazivel,1118
Novo Gama,1102
Volta Redonda,1080
Patrocinio,1057
Foz do Iguacu,1053
Cabo Frio,1040
Imperatriz,1025
Jacarei,1013
Boa Vista,1011
Indaiatuba,970
Rio Branco,968
Uberaba,962
Forest City,955
Patos,952
Ananindeua,946
Betim,946
Aparecida de Goiania,931
Santa Maria,931
Itaquaquecetuba,913
Canoas,907
Americana,905
Sobral,903
Rio das Ostras,901
Sao Vicente,890
Pouso Alegre,876
Arapiraca,872
Governador Valadares,866
Curitibanos,847
Cajazeiras,845
Bom Despacho,844
Carapicuiba,832
Caucaia,830
Pelotas,818
Criciuma,816
Marilia,815
Ipatinga,799
Maua,790
Sao Joao Batista,790
Sao Carlos,774
Araraquara,767
Serra Talhada,764
Belford Roxo,761
Sao Joao de Meriti,759
Macae,750
Camacari,744
Sumare,744
Marica,737
Taubate,717
Limeira,714
Lauro de Freitas,713
Sao Jose dos Pinhais,713
Pocos de Caldas,708
Guaruja,703
Itapetininga,698
Barreiras,688
Garanhuns,684
Sao Jose,682
Ribeirao das Neves,681
Santarem,675
Bezerros,666
Vitoria de Santo Antao,659
Maracanau,653
Valparaiso de Goias,650
Chapeco,645
Osorio,632
Cabo de Santo Agostinho,625
Rio Grande,623
Suzano,623
Taboao da Serra,612
Teixeira de Freitas,606
Aracatuba,603
Gravatai,598
New York,596
Tubarao,596
Vila Nova da Telha,594
Nova Friburgo,593
Itu,585
Santa Rita,582
Aguas Lindas de Goias,578
Ubatuba,567
Muriae,566
Prineville,563
Santa Luzia,563
Conselheiro Lafaiete,562
Silva Jardim,562
Divinopolis,561
Sousa,553
Parnaiba,552
Novo Hamburgo,551
Goiana,546
Passo Fundo,544
Parauapebas,543
Dourados,542
Balneario Camboriu,539
Hortolandia,539
Jau,537
Iguatu,536
Itabuna,536
Maraba,536
Itabira,535
Ilheus,530
Catole do Rocha,523
Palhoca,522
Atibaia,519
Caraguatatuba,518
Torres,516
Mococa,511
Rondonopolis,511
Erechim,506
Pindamonhangaba,505
Araucaria,500
Barbacena,499
Camaragibe,498
Itaborai,491
Irece,490
Itajuba,490
Cabedelo,489
Aracati,479
Araras,479
Sao Leopoldo,475
Juazeiro,472
Ourinhos,472
Itapipoca,471
Viamao,467
Patos de Minas,466
London,465
Itapevi,464
Botucatu,463
Carpina,463
Irati,462
Linhares,462
