# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20240101
# Data de término: 20240220
ID do país,Usuários
Media & Entertainment/Music Lovers/Blues Fans,397
Technology,376
Sports & Fitness,342
Shoppers,317
Sports & Fitness/Sports Fans/Golf Enthusiasts,228
Sports & Fitness/Sports Fans/Rugby Enthusiasts,188
Food & Dining/Frequently Dines Out,177
Sports & Fitness/Sports Fans/Baseball Fans,175
Media & Entertainment,102
Lifestyles & Hobbies,39

#  
# Data de início: 20240101
# Data de término: 20240220
Idade,Usuários
25-34,57720
35-44,44669
45-54,42594
55-64,38006
18-24,32355
65+,32038

#  
# Data de início: 20240101
# Data de término: 20240220
Idioma,Usuários
Portuguese,1286604
English,314896
Spanish,2951
Italian,1228
French,1066
German,749
Norwegian Bokmål,207
Dutch,194
Chinese,180
Russian,135
Swedish,93
Japanese,55
Catalan,46
Afrikaans,45
