# ----------------------------------------
# https://tribunadonorte.com.br – GA4
# Sessões-duracao med sessao dias do ano
# 20240101-20240219
# ----------------------------------------

Data,Nº dia,Duração média da sessão
,,192.18938644008585,Total geral
20240101,0000,173.24981411183154
20240102,0001,202.68040044528493
20240103,0002,198.90514725627824
20240104,0003,186.70193553442317
20240105,0004,216.05052218818372
20240106,0005,183.3848003868768
20240107,0006,183.345946516826
20240108,0007,221.84251769341597
20240109,0008,183.66122790935816
20240110,0009,202.3162797355463
20240111,0010,215.0797035911896
20240112,0011,218.9267995671758
20240113,0012,175.0663046349479
20240114,0013,168.65345035150025
20240115,0014,207.92179799046158
20240116,0015,206.05111520643868
20240117,0016,205.3790989691534
20240118,0017,192.08734773758673
20240119,0018,207.22619930494875
20240120,0019,174.44827919717466
20240121,0020,183.91408530111525
20240122,0021,232.7875512580898
20240123,0022,205.61698704153488
20240124,0023,195.4725002123018
20240125,0024,188.9091669999793
20240126,0025,183.8018639354032
20240127,0026,181.84514708883157
20240128,0027,190.20360510885791
20240129,0028,223.92795825714123
20240130,0029,186.91003936776335
20240131,0030,184.56779200056212
20240201,0031,207.75610298533473
20240202,0032,192.73374484348687
20240203,0033,162.68883366650465
20240204,0034,161.79474435021442
20240205,0035,192.6910937277783
20240206,0036,208.3813507011714
20240207,0037,211.7522231319205
20240208,0038,223.5150763388341
20240209,0039,207.8840305095452
20240210,0040,179.33229099957134
20240211,0041,174.19044426381225
20240212,0042,160.604311491222
20240213,0043,167.51920569297386
20240214,0044,181.10844594609753
20240215,0045,209.08337250615412
20240216,0046,217.10577842112735
20240217,0047,179.45409972323156
20240218,0048,169.0079344109241
20240219,0049,212.39978350926083

