# ----------------------------------------
# https://tribunadonorte.com.br – GA4
# Exploração sem título-sessoes dias do ano
# 20230101-20231231
# ----------------------------------------

Data,Nº dia,Sessões
20230524,0143,76460
20230525,0144,71821
20230526,0145,55378
20230527,0146,45248
20230528,0147,45068
20230529,0148,54276
20230530,0149,58363
20230531,0150,55969
20230601,0151,62555
20230602,0152,60017
20230603,0153,35369
20230604,0154,33143
20230605,0155,61422
20230606,0156,60063
20230607,0157,59586
20230608,0158,42305
20230609,0159,44441
20230610,0160,40929
20230611,0161,45206
20230612,0162,59683
20230613,0163,52848
20230614,0164,54015
20230615,0165,59186
20230616,0166,57162
20230617,0167,36136
20230618,0168,33785
20230619,0169,48783
20230620,0170,55203
20230621,0171,54535
20230622,0172,56013
20230623,0173,47220
20230624,0174,35307
20230625,0175,41027
20230626,0176,53156
20230627,0177,52168
20230628,0178,58387
20230629,0179,50201
20230630,0180,47126
20230701,0181,36974
20230702,0182,43914
20230703,0183,47769
20230704,0184,59551
20230705,0185,66081
20230706,0186,59468
20230707,0187,55987
20230708,0188,44712
20230709,0189,49699
20230710,0190,58930
20230711,0191,67671
20230712,0192,58852
20230713,0193,56022
20230714,0194,61027
20230715,0195,43024
20230716,0196,37005
20230717,0197,60759
20230718,0198,71739
20230719,0199,61229
20230720,0200,64584
20230721,0201,52202
20230722,0202,43231
20230723,0203,46487
20230724,0204,53029
20230725,0205,55188
20230726,0206,60705
20230727,0207,57384
20230728,0208,64949
20230729,0209,43417
20230730,0210,44148
20230731,0211,61876
20230801,0212,56757
20230802,0213,54329
20230803,0214,51984
20230804,0215,54730
20230805,0216,48415
20230806,0217,48975
20230807,0218,63034
20230808,0219,79603
20230809,0220,67201
20230810,0221,50379
20230811,0222,47499
20230812,0223,38706
20230813,0224,33752
20230814,0225,59317
20230815,0226,57906
20230816,0227,51667
20230817,0228,52550
20230818,0229,47912
20230819,0230,46081
20230820,0231,50473
20230821,0232,59932
20230822,0233,66942
20230823,0234,67865
20230824,0235,65297
20230825,0236,70782
20230826,0237,48656
20230827,0238,49675
20230828,0239,63057
20230829,0240,63432
20230830,0241,67190
20230831,0242,63851
20230901,0243,60310
20230902,0244,50333
20230903,0245,45849
20230904,0246,52186
20230905,0247,57347
20230906,0248,56805
20230907,0249,53160
20230908,0250,54119
20230909,0251,45005
20230910,0252,46615
20230911,0253,65422
20230912,0254,75441
20230913,0255,55482
20230914,0256,61521
20230915,0257,55210
20230916,0258,50660
20230917,0259,37045
20230918,0260,56773
20230919,0261,60796
20230920,0262,61950
20230921,0263,57358
20230922,0264,67354
20230923,0265,54510
20230924,0266,42434
20230925,0267,51967
20230926,0268,64198
20230927,0269,61967
20230928,0270,60322
20230929,0271,59974
20230930,0272,38266
20231001,0273,43092
20231002,0274,52525
20231003,0275,50746
20231004,0276,56491
20231005,0277,56081
20231006,0278,55328
20231007,0279,43847
20231008,0280,40431
20231009,0281,58263
20231010,0282,151517
20231011,0283,88409
20231012,0284,72970
20231013,0285,78361
20231014,0286,66132
20231015,0287,48861
20231016,0288,34836
20231017,0289,55364
20231018,0290,56313
20231019,0291,54734
20231020,0292,54175
20231021,0293,47431
20231022,0294,40239
20231023,0295,61603
20231024,0296,100233
20231025,0297,160042
20231026,0298,84352
20231027,0299,66703
20231028,0300,47412
20231029,0301,46180
20231030,0302,52991
20231031,0303,68499
20231101,0304,93694
20231102,0305,66479
20231103,0306,60377
20231104,0307,36987
20231105,0308,38876
20231106,0309,50486
20231107,0310,57053
20231108,0311,64332
20231109,0312,60791
20231110,0313,64540
20231111,0314,54172
20231112,0315,48200
20231113,0316,60883
20231114,0317,68223
20231115,0318,64535
20231116,0319,58448
20231117,0320,57298
20231118,0321,45204
20231119,0322,48197
20231120,0323,56939
20231121,0324,60834
20231122,0325,76211
20231123,0326,58580
20231124,0327,53551
20231125,0328,43120
20231126,0329,43793
20231127,0330,71514
20231128,0331,118621
20231129,0332,83928
20231130,0333,71813
20231201,0334,60977
20231202,0335,57838
20231203,0336,50752
20231204,0337,62362
20231205,0338,67510
20231206,0339,80583
20231207,0340,70239
20231208,0341,60996
20231209,0342,64492
20231210,0343,110384
20231211,0344,104105
20231212,0345,86505
20231213,0346,75392
20231214,0347,71607
20231215,0348,66459
20231216,0349,68886
20231217,0350,53707
20231218,0351,66904
20231219,0352,66592
20231220,0353,59240
20231221,0354,58959
20231222,0355,53659
20231223,0356,56748
20231224,0357,44715
20231225,0358,50349
20231226,0359,57798
20231227,0360,10306
20231228,0361,23572
20231229,0362,48744
20231230,0363,39057
20231231,0364,42255

