# ----------------------------------------
# https://tribunadonorte.com.br – GA4
# Sessões-duracao med sessao mes
# 20230101-20231231
# ----------------------------------------

Mês,Duração média da sessão
,324.96924581993716,Total geral
01,366.7449537130509
02,307.2040241355198
03,356.5365279916704
04,360.22124617165485
05,389.164669923717
06,412.0694971755181
07,377.2311721149926
08,351.2194703232731
09,331.6646126677541
10,251.47828531961423
11,202.71384116192357
12,195.28372594140654

