# ----------------------------------------
# https://tribunadonorte.com.br – GA4
# Sessões-duracao med sessao dias do ano
# 20230101-20231231
# ----------------------------------------

Data,Nº dia,Duração média da sessão
20230813,0224,373.8547763972209
20230814,0225,406.0014623229766
20230815,0226,392.1112987037786
20230816,0227,392.9261724299843
20230817,0228,391.4025824285632
20230818,0229,417.786938552179
20230819,0230,324.30835972956316
20230820,0231,266.5852662661819
20230821,0232,355.6820233148735
20230822,0233,362.454227929775
20230823,0234,358.3775645201208
20230824,0235,338.81417352195353
20230825,0236,295.7359000838066
20230826,0237,276.727452769196
20230827,0238,261.52191305821844
20230828,0239,359.0285946215963
20230829,0240,342.93694653570753
20230830,0241,347.38874920510494
20230831,0242,330.26325229983865
20230901,0243,314.49351522195326
20230902,0244,254.72916881099874
20230903,0245,273.67622022613364
20230904,0246,394.8962044116621
20230905,0247,360.7461787562558
20230906,0248,356.43994192954847
20230907,0249,268.76392676988337
20230908,0250,339.7871022413015
20230909,0251,269.7307427508499
20230910,0252,251.876397749394
20230911,0253,340.3026308710679
20230912,0254,315.45440996729894
20230913,0255,382.41487354031943
20230914,0256,376.7456033979942
20230915,0257,376.041259117207
20230916,0258,284.7530156211409
20230917,0259,347.7233677911189
20230918,0260,410.8404327157451
20230919,0261,349.23292747429105
20230920,0262,351.9051609011945
20230921,0263,376.4665350717773
20230922,0264,338.5570285769962
20230923,0265,254.93258145356813
20230924,0266,289.75931890182403
20230925,0267,385.9358945183482
20230926,0268,334.7091903807128
20230927,0269,347.5725194583084
20230928,0270,361.38846766690426
20230929,0271,328.69819819303365
20230930,0272,285.9136257100298
20231001,0273,245.8968170279634
20231002,0274,380.8137530083008
20231003,0275,296.94414817804363
20231004,0276,370.7394902881167
20231005,0277,365.5213741887805
20231006,0278,363.38986562062604
20231007,0279,289.21428785438
20231008,0280,306.75527053332837
20231009,0281,389.34547873873646
20231010,0282,167.7582314674855
20231011,0283,252.1712830046941
20231012,0284,218.4050770308072
20231013,0285,240.9683059054249
20231014,0286,228.8500071432136
20231015,0287,244.4191381480731
20231016,0288,220.5267027364221
20231017,0289,128.96979984168414
20231018,0290,162.92380910084705
20231019,0291,218.48569450902545
20231020,0292,229.39264274694972
20231021,0293,179.23290393325038
20231022,0294,177.8000577098586
20231023,0295,220.64769175442754
20231024,0296,164.2820285869524
20231025,0297,144.85550615919573
20231026,0298,308.0840311537486
20231027,0299,342.391712161447
20231028,0300,272.061374883848
20231029,0301,267.2481929067995
20231030,0302,410.50960362170935
20231031,0303,303.9862792312734
20231101,0304,202.31302056988704
20231102,0305,166.97610750632532
20231103,0306,204.1221037103036
20231104,0307,202.9698949265688
20231105,0308,199.5932197609322
20231106,0309,259.94974408392426
20231107,0310,239.2488302758663
20231108,0311,214.4281485142542
20231109,0312,209.6120037031962
20231110,0313,205.41126722613882
20231111,0314,166.62784661195823
20231112,0315,171.86010954161824
20231113,0316,223.51113207647455
20231114,0317,206.5656059807103
20231115,0318,156.14977566057178
20231116,0319,228.15504159613673
20231117,0320,215.8504797877064
20231118,0321,167.7079499905097
20231119,0322,169.55854101139076
20231120,0323,205.50524005123026
20231121,0324,183.06285603567085
20231122,0325,201.2986180825996
20231123,0326,222.4217283357972
20231124,0327,215.40489514929692
20231125,0328,202.02534315619204
20231126,0329,192.17360003685522
20231127,0330,208.8326406539279
20231128,0331,201.59219009140034
20231129,0332,192.8173497191283
20231130,0333,215.05747385841002
20231201,0334,215.76228136961478
20231202,0335,172.8700714166119
20231203,0336,180.11377895712482
20231204,0337,236.9764504641769
20231205,0338,238.58117278537995
20231206,0339,206.99008285117208
20231207,0340,225.74130651233645
20231208,0341,201.9254598456948
20231209,0342,170.65899469765242
20231210,0343,135.77967501232968
20231211,0344,179.96077346039095
20231212,0345,208.3429449967285
20231213,0346,226.375643000902
20231214,0347,216.40274290781625
20231215,0348,211.49012324187845
20231216,0349,153.1788786051157
20231217,0350,183.22892799895732
20231218,0351,208.8238914232034
20231219,0352,212.12244121317875
20231220,0353,217.33646287635042
20231221,0354,221.6478308902288
20231222,0355,213.53495707353844
20231223,0356,166.42030172118842
20231224,0357,169.59680932483505
20231225,0358,182.53946496905598
20231226,0359,225.33588716876017
20231227,0360,114.66987076324469
20231228,0361,181.3119413911845
20231229,0362,217.47200199485064
20231230,0363,185.59459796835395
20231231,0364,170.69841627823925

