Gênero do espectador,Visualizações (%),Duração média da visualização,Porcentagem visualizada média (%),Tempo de exibição (horas) (%)
Feminino,26.5,0:01:31,25.79,20.89
Masculino,73.41,0:02:05,23.21,79.07
Especificado pelo usuário,0.09,0:00:53,31.7,0.04
