Data,Visualizações
2024-02-01,3376
2024-02-02,2959
2024-02-03,2650
2024-02-04,2463
2024-02-05,4135
2024-02-06,3473
2024-02-07,3549
2024-02-08,14320
2024-02-09,2726
2024-02-10,2585
2024-02-11,2892
2024-02-12,3102
2024-02-13,2926
2024-02-14,5877
2024-02-15,12116
2024-02-16,21589
2024-02-17,3485
2024-02-18,2565
2024-02-19,5066
2024-02-20,4540
2024-02-21,5904
2024-02-22,4221
2024-02-23,1898
2024-02-24,2145
2024-02-25,2049
2024-02-26,2191
2024-02-27,2940
2024-02-28,7416
2024-02-29,2101
