Data,Cidades,Nome da cidade,Visualizações
2024-02-10,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,44
2024-02-11,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,45
2024-02-12,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,54
2024-02-13,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,46
2024-02-14,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,125
2024-02-15,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,246
2024-02-16,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,496
2024-02-17,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,32
2024-02-18,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,14
2024-02-19,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,87
2024-02-20,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,41
2024-02-21,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,135
2024-02-22,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,44
2024-02-23,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,0
2024-02-24,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,17
2024-02-25,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,14
2024-02-26,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,12
2024-02-27,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,12
2024-02-28,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,160
2024-02-29,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,0
2024-02-01,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,66
2024-02-02,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,51
2024-02-03,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,43
2024-02-04,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,29
2024-02-05,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,130
2024-02-06,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,127
2024-02-07,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,68
2024-02-08,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,997
2024-02-09,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,62
2024-02-10,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,21
2024-02-11,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,17
2024-02-12,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,42
2024-02-13,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,52
2024-02-14,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,85
