Idade do espectador,Visualizações (%),Duração média da visualização,Porcentagem visualizada média (%),Tempo de exibição (horas) (%)
13 a 17 anos,0.58,0:01:21,32.09,0.4
18 a 24 anos,10.74,0:01:25,24.3,7.8
25 a 34 anos,19.22,0:01:41,24.8,16.61
35 a 44 anos,22.33,0:02:01,22.22,23.05
45 a 54 anos,18.99,0:02:21,23.13,22.73
55 a 64 anos,16.37,0:02:18,23.76,19.19
A partir de 65 anos,11.77,0:01:42,25.67,10.22
