Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
0x9990f48a8830e1:0x96e11303c14c3674,São Gonçalo,BR,BR-RJ,103,1.329,0:00:46
0xab54b430dce6f5:0x231bf948b0041bbb,Montes Claros,BR,BR-MG,102,1.397,0:00:49
0x94bdad614c2df789:0x8f2fb0f070642c09,São José do Rio Preto,BR,BR-SP,101,1.1236,0:00:40
0x738b38a9554ff4f:0x71f06c3510ebd834,Ipiaú,BR,BR-BA,96,2.2323,0:01:23
0x94b0a9b35dc60831:0x68b8558a69681462,Franca,BR,BR-SP,96,1.0874,0:00:40
0x995d694889f955:0x23ff502568217834,Nova Iguaçu,BR,BR-RJ,95,1.0249,0:00:38
0x8d61e5e06b4b1a37:0x56357df330df0f97,Macapá,BR,BR-AP,90,1.1133,0:00:44
0x92c3a11f6e9a3be7:0xd5164004425256e9,Marabá,BR,BR-PA,89,0.6996,0:00:28
0x917f7bb68acc96f3:0x8ab88f1d7f1d9b3c,Rio Branco,BR,BR-AC,88,1.1782,0:00:48
0xb81fa3965b36af:0x521cd91111dd2e08,Serra,BR,BR-ES,88,0.9716,0:00:39
0x94cf24293cc00531:0xf686a1c1163c6bbb,Jundiaí,BR,BR-SP,86,1.0485,0:00:43
0x7b3acc9c09de343:0xb7cb25040c2d108e,São Gonçalo do Amarante,BR,BR-RN,85,1.3679,0:00:57
0x8d9305cacbaaa4db:0xb72e65c7a9d75f45,Boa Vista,BR,BR-RR,85,1.3331,0:00:56
0xb83d5d85374ee9:0x97595e7ea70ed809,Vitória,BR,BR-ES,85,1.0821,0:00:45
0x7463b073025e405:0x78be45452bd92ae3,Vitória da Conquista,BR,BR-BA,84,1.0082,0:00:43
0x7adb41082fa56fb:0x1d6fccb961a28124,Guarabira,BR,BR-PB,84,3.5231,0:02:30
0x7bbd776ef1eb865:0x82fba3b801984c31,Limoeiro do Norte,BR,BR-CE,84,1.864,0:01:19
0x7c0b56dfdbff18d:0xa8ded9006dd0d827,Caucaia,BR,BR-CE,84,1.4029,0:01:00
0x935ea462bcef4687:0xcffa52b54537af5a,Anápolis,BR,BR-GO,84,1.0644,0:00:45
0x94c631c14f4c9d3b:0x270ec30013dc341c,Piracicaba,BR,BR-SP,84,1.0093,0:00:43
0x7a1789b9e348137:0x6fac36329d98a8ea,Juazeiro do Norte,BR,BR-CE,83,1.1444,0:00:49
0x94cdd851f596f5e1:0x6ccc8b4e43c28b9f,Mogi das Cruzes,BR,BR-SP,83,1.0792,0:00:46
0x7737a8452b2d649:0xa0e71dc0c94e0aed,Petrolina,BR,BR-PE,80,1.0297,0:00:46
0x94e81ac65f102321:0xacb0f4e64629b2f1,Ponta Grossa,BR,BR-PR,79,0.787,0:00:35
0x933b3439911f1257:0x93b8070d05c818f,Palmas,BR,BR-TO,77,1.0146,0:00:47
0xafffe7a9289aff:0x8f04aebcd0ce11f4,Ipatinga,BR,BR-MG,76,0.7886,0:00:37
0xa6c24a5fb01f9b:0xdae51d9facff118f,Betim,BR,BR-MG,74,0.8265,0:00:40
0x92a45fe447932a59:0xf3812b35573454d3,Ananindeua,BR,BR-PA,73,0.9246,0:00:45
0x951ebcd16435f073:0xf514f707b5773bf4,Caxias do Sul,BR,BR-RS,73,0.7423,0:00:36
0x9ea2ac4b4e5c1d:0xd475bc9356fcad22,Volta Redonda,BR,BR-RJ,72,0.9076,0:00:45
0x94bad03162627637:0x8e83d9edb0f8e15c,Uberaba,BR,BR-MG,71,0.8043,0:00:40
0x94c88055b6df0dc3:0x1b0ef5f339809ecd,Limeira,BR,BR-SP,71,0.7609,0:00:38
0x94bfd72c62b64a63:0xa6490d177f5adcfa,Marília,BR,BR-SP,69,0.9877,0:00:51
0x97073d3c0566d5:0x5115f34a20c5ad67,Cabo Frio,BR,BR-RJ,68,0.7205,0:00:38
0x94c8bcfd64c3182d:0x8e575af90f766b31,Sumaré,BR,BR-SP,67,0.7143,0:00:38
0x705d59f85ab6275:0x60b6f0374f7f3fba,Arapiraca,BR,BR-AL,66,0.757,0:00:41
0x94ce1f9dd9bf50e5:0x83b44c5ff623bb51,Praia Grande,BR,BR-SP,66,0.8812,0:00:48
0x94ce69549e48e43f:0xe210627a68fc88df,Mauá,BR,BR-SP,66,0.8012,0:00:43
0x94ce7c8d172d5a85:0x453b3d4d5bc111d7,Itaquaquecetuba,BR,BR-SP,66,0.8041,0:00:43
0x7b9b1e756001ebb:0xf679966fd97abab9,Aracati,BR,BR-CE,63,1.1311,0:01:04
0x92c55fa57838978f:0x9b2552d5a3c79685,Imperatriz,BR,BR-MA,63,0.7185,0:00:41
0x94f3d41ec7f74d61:0xebac32ece05a5fbc,Cascavel,BR,BR-PR,63,0.7587,0:00:43
0x7954b6af4595227:0xe0ece6e4f3ec3d5b,Sobral,BR,BR-CE,61,0.8341,0:00:49
0x9489a825ba544f99:0xd96ef82be62edddc,Dourados,BR,BR-MS,61,0.7856,0:00:46
0x9493f45d3ca3d435:0x7db8d361d2635f6a,Presidente Prudente,BR,BR-SP,60,0.515,0:00:30
0x94cf4ca60d3490fd:0x22c4318b2dde5682,Indaiatuba,BR,BR-SP,60,0.7904,0:00:47
0x95197aa8021e5571:0xd0de460f7518f586,Canoas,BR,BR-RS,60,0.5167,0:00:31
0xbdd5d1be81b545:0xee97b136e7168ee1,Campos dos Goytacazes,BR,BR-RJ,60,0.5459,0:00:32
0x94ce7176a5cf4309:0x7678f276a368e6e2,Suzano,BR,BR-SP,59,0.8012,0:00:48
0x95274a45dbfb5d61:0x100bf170797fe362,São José,BR,BR-SC,59,0.6816,0:00:41
0x7ab158cdfd2af59:0x29d02a55f0b8b31e,Paulista,BR,BR-PE,58,0.646,0:00:40
0x935efbd4bcc9396d:0x138ecc5abca8e4e8,Aparecida de Goiânia,BR,BR-GO,58,0.5314,0:00:32
0xb1a7947c2e06c7:0x76454399f628aa6f,Governador Valadares,BR,BR-MG,58,0.5977,0:00:37
0x7a472d082d8edb7:0x1c5023bf5f28ade8,Cajazeiras,BR,BR-PB,57,0.8814,0:00:55
0x7a4ae2fdc5318ad:0x1a2e86a420ca538e,São Miguel,BR,BR-RN,57,0.9355,0:00:59
0x7c752fbf294fc0b:0x141b9e35d1f1f7bc,Maracanaú,BR,BR-CE,57,0.6221,0:00:39
0x94ccf8ea3cf365e7:0xe826950860bd7f50,Taubaté,BR,BR-SP,57,0.614,0:00:38
0x97b4d9abd0d487:0x1adf24037f21b4b2,Rio das Ostras,BR,BR-RJ,57,0.7414,0:00:46
0x7b25fc7358f3f71:0x156ca96a2341ac50,São José de Mipibu,BR,BR-RN,56,1.8562,0:01:59
0x94c0184fc63ff343:0x3431a2108ac1f4c,Ourinhos,BR,BR-SP,56,0.6475,0:00:41
0x94cf03dd6a1db995:0x70548836d6e4a9a2,Barueri,BR,BR-SP,56,0.693,0:00:44
0x9288f9213cb04ad5:0x80be3f9dd767d647,Santarém,BR,BR-PA,53,0.7915,0:00:53
0x9503ca434a8b9533:0x635dcc96e4d7a4d9,Santa Maria,BR,BR-RS,53,0.5936,0:00:40
0x75f8aae10d4ae69:0x97810f362c2db8c5,Barreiras,BR,BR-BA,52,0.8673,0:01:00
0x7b25230dac88e1b:0x7195c0a9f2b9d399,Macaíba,BR,BR-RN,52,2.9189,0:03:22
0x94c9c32c478c87cf:0xfb00e9b3715381fe,Poços de Caldas,BR,BR-MG,52,0.6775,0:00:46
0x94d8cc949bf3cf61:0xef02eadd26842207,Itajaí,BR,BR-SC,52,0.5777,0:00:39
0x7b3ba9a78752cb7:0x3d7bde314ec9ded5,Ceará-Mirim,BR,BR-RN,50,2.1593,0:02:35
0x92d90dde5d8c4ffb:0x4a30e815e64dc4fc,Araguaína,BR,BR-TO,49,1.146,0:01:24
0x952181e2d391d045:0x5333d655f0ed7675,Criciúma,BR,BR-SC,49,0.543,0:00:39
0x99007e82d9236f:0xa9241871d369007a,Petrópolis,BR,BR-RJ,49,0.4327,0:00:31
0x7ab17fa77c07f29:0x78d856ff05dd791,Olinda,BR,BR-PE,45,0.3429,0:00:27
0x94ce546123a13c61:0x1f856c4bbae6eb84,Taboão da Serra,BR,BR-SP,45,0.5753,0:00:46
0x94f690ebae530a43:0x21979473b4c4a952,Foz do Iguaçu,BR,BR-PR,45,0.4921,0:00:39
0xa0a5bc241bce2f:0xf7e939bd5077b17d,Divinópolis,BR,BR-MG,45,0.5075,0:00:40
0x939dadb18cb64935:0xfbb74bb1fac6cf4c,Várzea Grande,BR,BR-MT,44,1.0996,0:01:29
0x94b8f15fecb7508b:0xbdaebe35da49b086,Araraquara,BR,BR-SP,44,0.3995,0:00:32
0x94c9cbbab512b431:0x14f2aac65c4a4c81,São João da Boa Vista,BR,BR-SP,44,0.4481,0:00:36
