# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20220101
# Data de término: 20221231
Nº dia,Novos usuários
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
0101,0
0102,0
0103,0
0104,0
0105,0
0106,0
0107,24395
0108,50081
0109,31782
0110,22008
0111,20735
0112,16832
0113,16938
0114,22586
0115,24006
0116,21244
0117,28220
0118,24169
0119,18035
0120,19583
0121,45529
0122,34036
0123,20019
0124,18362
0125,16026
0126,29454
0127,22808
0128,26556
0129,18935
0130,16893
0131,15426
0132,17393
0133,12006
0134,14050
0135,15709
0136,39326
0137,32330
0138,22430
0139,32176
0140,12680
0141,12211
0142,19725
0143,21443
0144,25585
0145,23608
0146,23197
0147,16185
0148,15429
0149,17138
0150,17590
0151,23682
0152,36646
0153,29878
0154,18575
0155,30327
0156,31168
0157,20288
0158,12167
0159,3934
0160,4561
0161,3894
0162,3135
0163,3582
0164,4179
0165,14970
0166,23122
0167,23547
0168,15134
0169,13012
0170,7064
0171,16950
0172,36092
0173,26142
0174,23265
0175,16582
0176,15011
0177,19732
0178,19355
0179,20566
0180,21256
0181,27611
0182,16969
0183,33643
0184,23300
0185,23373
0186,32274
0187,37249
0188,29941
0189,17029
0190,14213
0191,31336
0192,23702
0193,19007
0194,17374
0195,17030
0196,19815
0197,16036
0198,19806
0199,27963
0200,364483
0201,33159
0202,26346
0203,16761
0204,13257
0205,18291
0206,18945
0207,21211
0208,29925
0209,22778
0210,15687
0211,20351
0212,26346
0213,19308
0214,20587
0215,18570
0216,18687
0217,24029
0218,30082
0219,18530
0220,17812
0221,26502
0222,18807
0223,16279
0224,15290
0225,14542
0226,17742
0227,19885
0228,17246
0229,16291
0230,18770
0231,18153
0232,16873
0233,17215
0234,21561
0235,26460
0236,31953
0237,23795
0238,20364
0239,29826
0240,22974
0241,24360
0242,19851
0243,24958
0244,24014
0245,16263
0246,21993
0247,27279
0248,22221
0249,29372
0250,28816
0251,22025
0252,17839
0253,28109
0254,32954
0255,53276
0256,46107
0257,36832
0258,22059
0259,18165
0260,23162
0261,44535
0262,32712
0263,51808
0264,39852
0265,44863
0266,80257
0267,38759
0268,34297
0269,34435
0270,33961
0271,44041
0272,70850
0273,64945
0274,139613
0275,47730
0276,18233
0277,20242
0278,29198
0279,26734
0280,18962
0281,16039
0282,17863
0283,21006
0284,15839
0285,17725
0286,28064
0287,20981
0288,184779
0289,70193
0290,18708
0291,27172
0292,32923
0293,26556
0294,19486
0295,19082
0296,21036
0297,27411
0298,33738
0299,19767
0300,24873
0301,12934
0302,13868
0303,15914
0304,21422
0305,14248
0306,15514
0307,15061
0308,11607
0309,12121
0310,28557
0311,18390
0312,18461
0313,16404
0314,17566
0315,12200
0316,12972
0317,13573
0318,10993
0319,27858
0320,14563
0321,13626
0322,16676
0323,16861
0324,24537
0325,18497
0326,17972
0327,14214
0328,17834
0329,14407
0330,11665
0331,14431
0332,13824
0333,13287
0334,13164
0335,10589
0336,15759
0337,13246
0338,12691
0339,13103
0340,12936
0341,14752
0342,15013
0343,13441
0344,11065
0345,14179
0346,16420
0347,21682
0348,15997
0349,12528
0350,14997
0351,13663
0352,15108
0353,15173
0354,13221
0355,16960
0356,17343
0357,9323
0358,9161
0359,13399
0360,16704
0361,22733
0362,29671
0363,21133
0364,12431

# Data de início: 20220101
# Data de término: 20221231
Nº dia,Usuários recorrentes
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
0101,0
0102,0
0103,0
0104,0
0105,0
0106,0
0107,2481
0108,14177
0109,16678
0110,14208
0111,15776
0112,14918
0113,15479
0114,19464
0115,16604
0116,10950
0117,13078
0118,12891
0119,9182
0120,10085
0121,14580
0122,12747
0123,12217
0124,12503
0125,11868
0126,11150
0127,11160
0128,15145
0129,13946
0130,13730
0131,13497
0132,14896
0133,10303
0134,9886
0135,13138
0136,20980
0137,19428
0138,16479
0139,16399
0140,11517
0141,10936
0142,16825
0143,18704
0144,19759
0145,18644
0146,18021
0147,13538
0148,13194
0149,17202
0150,18032
0151,20727
0152,23848
0153,23685
0154,16085
0155,17557
0156,24411
0157,22987
0158,16058
0159,5486
0160,5596
0161,4326
0162,4848
0163,5876
0164,6246
0165,13102
0166,17752
0167,19228
0168,13460
0169,12581
0170,10111
0171,18395
0172,25602
0173,22866
0174,21732
0175,15542
0176,16842
0177,22021
0178,22985
0179,21914
0180,24354
0181,25410
0182,17724
0183,30156
0184,24189
0185,24138
0186,26190
0187,26271
0188,30291
0189,19693
0190,17116
0191,25349
0192,25636
0193,22146
0194,20996
0195,20856
0196,20404
0197,16489
0198,23486
0199,29370
0200,47561
0201,25829
0202,22947
0203,18472
0204,15264
0205,20645
0206,22791
0207,25127
0208,29364
0209,26262
0210,19937
0211,22662
0212,22559
0213,24165
0214,26351
0215,23293
0216,25186
0217,19654
0218,19917
0219,22916
0220,21979
0221,22789
0222,23964
0223,22714
0224,18387
0225,16031
0226,22983
0227,25517
0228,24258
0229,22411
0230,23761
0231,19686
0232,15585
0233,20378
0234,26109
0235,25726
0236,30615
0237,24493
0238,19252
0239,21627
0240,24233
0241,24833
0242,23492
0243,27612
0244,27194
0245,19014
0246,21574
0247,30509
0248,27650
0249,27876
0250,24369
0251,25289
0252,20890
0253,22353
0254,32225
0255,37330
0256,36933
0257,34779
0258,25767
0259,20207
0260,23826
0261,30892
0262,30241
0263,31104
0264,28049
0265,30025
0266,46039
0267,27398
0268,29452
0269,33740
0270,34331
0271,36989
0272,35403
0273,33879
0274,70530
0275,41708
0276,22907
0277,22940
0278,35648
0279,34484
0280,23345
0281,20307
0282,25485
0283,27198
0284,18547
0285,26439
0286,30420
0287,21165
0288,40101
0289,30756
0290,24024
0291,23995
0292,29027
0293,25638
0294,19044
0295,20620
0296,23072
0297,26408
0298,27879
0299,22422
0300,22302
0301,17274
0302,18077
0303,23419
0304,27727
0305,20881
0306,21513
0307,22445
0308,17149
0309,16059
0310,24857
0311,23157
0312,24669
0313,23292
0314,23512
0315,19983
0316,16802
0317,18344
0318,15595
0319,20976
0320,20937
0321,20044
0322,18439
0323,18356
0324,19195
0325,20485
0326,21688
0327,19902
0328,22036
0329,16451
0330,14412
0331,16887
0332,20024
0333,19515
0334,18748
0335,15930
0336,15662
0337,13927
0338,15938
0339,17799
0340,18294
0341,18256
0342,15106
0343,12947
0344,12526
0345,16890
0346,17986
0347,18637
0348,17966
0349,18661
0350,18505
0351,14813
0352,18711
0353,20876
0354,20475
0355,20224
0356,20049
0357,12799
0358,12287
0359,17742
0360,19710
0361,22878
0362,21463
0363,20037
0364,14310

#  
# Data de início: 20220101
# Data de término: 20221231
Coorte,Dia 1,Dia 7,Dia 30
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,2,0,0
107,0.3215830273357813,0.24002447980416156,0.21754385964912282
108,0.19777242624924743,0.16375677302829622,0.13096528195865945
109,0.09346538437042226,0.07655563339914655,0.05939112158461245
110,0.09052892789853408,0.06470290887367308,0.04305868296493727
111,0.06975392365820578,0.054543693082735906,0.027465607440418524
112,0.07883867832847424,0.042334791059280855,0.03225218658892128
113,0.07175480769230769,0.04795673076923077,0.03359375
