# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20221001
# Data de término: 20221031
Nº dia,Novos usuários
0000,64945
0001,139613
0002,47730
0003,18233
0004,20242
0005,29198
0006,26734
0007,18962
0008,16039
0009,17863
0010,21006
0011,15839
0012,17725
0013,28064
0014,20981
0015,184779
0016,70193
0017,18708
0018,27172
0019,32923
0020,26556
0021,19486
0022,19082
0023,21036
0024,27411
0025,33738
0026,19767
0027,24873
0028,12934
0029,13868
0030,15914

# Data de início: 20221001
# Data de término: 20221031
Nº dia,Usuários recorrentes
0000,33879
0001,70620
0002,41708
0003,22907
0004,22940
0005,35648
0006,34484
0007,23345
0008,20307
0009,25485
0010,27198
0011,18547
0012,26439
0013,30420
0014,21165
0015,40101
0016,30756
0017,24024
0018,23995
0019,29027
0020,25638
0021,19044
0022,20620
0023,23072
0024,26408
0025,27879
0026,22422
0027,22302
0028,17274
0029,18077
0030,23419

#  
# Data de início: 20221001
# Data de término: 20221031
Coorte,Dia 1,Dia 7,Dia 30
0,0.04039616199670355,0.004414881092535908,0.001221450435601601
1,0.03899531543207377,0.004023058334345848,0.0021802816140834044
2,0.014362621426726792,0.004688213909692286,0.0020659925703728718
3,0.029980357696681486,0.01374961232296082,0.004858885557738034
4,0.034230530190753936,0.008318592532389922,0.0035377922264187025
5,0.04765851636966432,0.012815199719468266,0.0027415601389907235
6,0.02468487394957983,0.011519607843137256,0.0018557422969187674
7,0.027251595034373608,0.009594935456748603,0.0032147979623126763
8,0.03476994758299359,0.01677344205008736,0.0028538147932440304
9,0.038925123923819464,0.013722932428906862,0.00453952517610227
10,0.02747104767034743,0.013780411167968399,0.004802944609031331
11,0.030462869673442777,0.010845729864280212,0.0036152432880934035
12,0.03930678081119173,0.014511666753667067,0.0036018165683562144
13,0.023215821152192607,0.008995303922217078,0.0024141808320656127
14,0.0441976630095442,0.008696815627508696,0.0029435375970029436
15,0.02252986610364273,0.0023839431274554346,0.0003795066413662239
16,0.014186654855988152,0.004179872942935046,0.002089936471467523
17,0.03176935549250101,0.012413862991487636,0.0036481556546412645
18,0.031229165935646865,0.010386329344889294,0.0018948033264325065
