Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
0xbdd5d1be81b545:0xee97b136e7168ee1,Campos dos Goytacazes,BR,BR-RJ,95,"4,3199",0:02:43
0x7954b6af4595227:0xe0ece6e4f3ec3d5b,Sobral,BR,BR-CE,86,"3,8693",0:02:41
0x989c43e1f85da1:0x6236b026b3a0a468,Juiz de Fora,BR,BR-MG,86,"1,8156",0:01:16
0x7a58af5820e65df:0xbdb334b1986d14f1,Patos,BR,BR-PB,85,"3,5965",0:02:32
0x7c75a680f6344f5:0xdf7b7d96071db65d,Eusébio,BR,BR-CE,83,"2,1344",0:01:32
0x9288f9213cb04ad5:0x80be3f9dd767d647,Santarém,BR,BR-PA,83,"1,5074",0:01:05
0x933b3439911f1257:0x93b8070d05c818f,Palmas,BR,BR-TO,81,"1,5751",0:01:10
0x94cef53fb1b5e26d:0x974ce18d22c3555b,Guarulhos,BR,BR-SP,81,"2,2159",0:01:38
0x8d9305cacbaaa4db:0xb72e65c7a9d75f45,Boa Vista,BR,BR-RR,79,"1,6125",0:01:13
0x7737a8452b2d649:0xa0e71dc0c94e0aed,Petrolina,BR,BR-PE,76,"2,96",0:02:20
0x94deafdc40afbc4b:0x4b39d148cac10ae7,Joinville,BR,BR-SC,71,"3,1933",0:02:41
0x9527394eb2c632d7:0x81bc550b6a04c746,Florianópolis,BR,BR-SC,68,"3,0906",0:02:43
0x773718dc881547f:0xbcbb39e48d5134de,Juazeiro,BR,BR-BA,67,"1,1835",0:01:03
0x9ea2ac4b4e5c1d:0xd475bc9356fcad22,Volta Redonda,BR,BR-RJ,67,"2,0514",0:01:50
0x7c755918140f5d3:0x4cc8b68039e04230,Pacatuba,BR,BR-CE,66,"3,716",0:03:22
0x935efbd4bcc9396d:0x138ecc5abca8e4e8,Aparecida de Goiânia,BR,BR-GO,66,"2,1613",0:01:57
0x9985c034c8b985:0x262ee793dfcc1775,Niterói,BR,BR-RJ,66,"2,4995",0:02:16
0x7c0ab6a38bc35a9:0x11b4ab0b067e89f3,Maranguape,BR,BR-CE,64,"2,6136",0:02:27
0x7a186ff4c51d805:0x7d3388b8f96d7405,Crato,BR,BR-CE,63,"4,1048",0:03:54
0x97073d3c0566d5:0x5115f34a20c5ad67,Cabo Frio,BR,BR-RJ,63,"2,048",0:01:57
0x996f6e2b493369:0xbb7fb4c04edcc270,Belford Roxo,BR,BR-RJ,63,"2,9524",0:02:48
0x7a472d082d8edb7:0x1c5023bf5f28ade8,Cajazeiras,BR,BR-PB,62,"0,562",0:00:32
0x7ad8fb3d81d0a07:0x3db470621b2d143a,Nova Cruz,BR,BR-RN,62,"1,9845",0:01:55
0x94df1e408b5c3095:0xacfb8520bc1a7644,Blumenau,BR,BR-SC,61,"2,18",0:02:08
0x7a36711eb762397:0xb7047823d6204839,Icó,BR,BR-CE,58,"1,9895",0:02:03
0x996454fda3e67b:0x7a3f4c17541603a3,São João de Meriti,BR,BR-RJ,58,"2,8369",0:02:56
0x70135d59c588b69:0x7dbb4b887595602c,Rio Largo,BR,BR-AL,57,"2,3065",0:02:25
0x76ed4b095788d41:0xe89c8ac1ddaeedf9,Irecê,BR,BR-BA,57,"1,5485",0:01:37
0x7b8b00149e12153:0xba87c00a25f9a426,Horizonte,BR,BR-CE,57,"2,6342",0:02:46
0xb95d3d7ef7ecb9:0xa68aadb2a822a95,Cachoeiro de Itapemirim,BR,BR-ES,57,"2,3219",0:02:26
0x7afb766f61853ad:0xc55c745a2a567029,Jardim do Seridó,BR,BR-RN,56,"1,8745",0:02:00
0x7bde390e59bc91b:0x8810a577de144ee5,Boa Viagem,BR,BR-CE,56,"1,0134",0:01:05
0x92c3a11f6e9a3be7:0xd5164004425256e9,Marabá,BR,BR-PA,56,"4,5531",0:04:52
0xb624fa1ad6fe2b:0x51fd1d6a62e6fde0,Linhares,BR,BR-ES,56,"1,8248",0:01:57
0x7a19d70f3f1a19b:0x88c32b032737cca2,Barbalha,BR,BR-CE,54,"3,2217",0:03:34
0x917f7bb68acc96f3:0x8ab88f1d7f1d9b3c,Rio Branco,BR,BR-AC,53,"3,576",0:04:02
0xb857603fd9399d:0xb44c9166b2c1b315,Guarapari,BR,BR-ES,52,"2,3379",0:02:41
0x935ea462bcef4687:0xcffa52b54537af5a,Anápolis,BR,BR-GO,51,"1,3433",0:01:34
0x7ab158cdfd2af59:0x29d02a55f0b8b31e,Paulista,BR,BR-PE,50,"2,1305",0:02:33
0x99007e82d9236f:0xa9241871d369007a,Petrópolis,BR,BR-RJ,50,"1,8249",0:02:11
0x7390a3f7b1d2a77:0xfc575920401943ea,Ilhéus,BR,BR-BA,48,"1,1577",0:01:26
0x7bad6a41f7216d3:0x2799cbfa6bc83582,Martins,BR,BR-RN,48,"2,7056",0:03:22
