# ----------------------------------------,,,,,,,,,
# https://tribunadonorte.com.br – GA4,,,,,,,,,
# visualizações por faixa etária-vizualizações por faixa etária,,,,,,,,,
# 20240101-20240131,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Idade,unknown,25-34,35-44,45-54,55-64,65+,18-24,Totais,
Título da página,Visualizações,Visualizações,Visualizações,Visualizações,Visualizações,Visualizações,Visualizações,Visualizações,
A convergência - Tribuna do Norte,241,0,0,23,22,23,0,309,
A crítica e a análise - Tribuna do Norte,27,0,0,0,0,0,0,27,
A dama das noites - Tribuna do Norte,327,13,11,23,16,26,0,416,
A dona da galinhada do Alecrim - Tribuna do Norte,27,0,0,0,0,0,0,27,
A endogamia no Seridó - Tribuna do Norte,188,0,0,0,0,0,0,188,
A escuridão de abril - Tribuna do Norte,583,34,21,33,32,34,0,737,
A estrela maior da Noruega - Tribuna do Norte,28,0,0,0,0,0,0,28,
A eternidade do Imperador - Tribuna do Norte,334,10,0,15,15,27,0,401,
A exposição “Verde Mar” inspira coleção de roupas - Tribuna do Norte,286,15,16,0,11,0,0,328,
A famigerada lista de Epstein - Tribuna do Norte,11512,440,171,130,62,80,1088,13483,
A grandeza e os empregos do Pró-Sertão - Tribuna do Norte,455,0,13,17,20,15,0,520,
A história do Valdetário de 'carne e osso' - Tribuna do Norte,48,0,0,0,0,0,0,48,
A importância da Biofilia para os negócios - Tribuna do Norte,80,0,0,0,0,0,0,80,
A importância da mão de obra qualificada para o mercado - Tribuna do Norte,26,0,0,0,0,0,0,26,
A lei da bala - Tribuna do Norte,113,0,0,0,0,11,0,124,
A lei de Deus e a lei dos homens - Tribuna do Norte,94,0,0,0,0,0,0,94,
A linda esposa Linda - Tribuna do Norte,19,0,0,0,0,0,0,19,
A longa espera dos pacientes do SUS por um exame - Tribuna do Norte,35,0,0,0,0,0,0,35,
A magia do cavalo-marinho - Tribuna do Norte,20,0,0,0,0,0,0,20,
A mega festa de 50 anos de Odete Lopes - Território Livre,1478,60,44,22,0,0,0,1604,
A morte de Sharon Tate - Tribuna do Norte,15,0,0,0,0,0,0,15,
A origem da bunda - Blog do Heitor Gregório,73,0,0,0,0,0,0,73,
"A pedido da PGR, Toffoli autoriza inquérito contra senador Sergio Moro - Tribuna do Norte",153,13,13,11,0,0,0,190,
A pedofilia sepulcral de Foucault - Tribuna do Norte,24,0,0,0,0,0,0,24,
A poderosa Madame Mim - Tribuna do Norte,50,0,0,0,0,0,0,50,
A poesia do tempo - Tribuna do Norte,64,0,0,0,0,0,0,64,
A praça abandonada - Tribuna do Norte,193,13,15,20,27,19,0,287,
A principal diferença entre curso técnico e a graduação - Tribuna do Norte,58,0,0,0,0,0,0,58,
A rainha negra que traficava escravos - Tribuna do Norte,25,0,0,0,0,0,0,25,
A sombra da dor - Tribuna do Norte,334,14,13,36,22,29,0,448,
A terceira pesca milagrosa - Tribuna do Norte,21,0,0,0,0,0,0,21,
A volta da arca perdida - Tribuna do Norte,64,0,0,0,0,0,0,64,
A “Veritatis Gaudium” e a renovação dos estudos eclesiásticos na igreja em saída - Tribuna do Norte,1375,52,38,48,59,82,10,1664,
ABC abre 2 a 0 no primeiro tempo contra o Baraúnas - Tribuna do Norte,836,20,22,20,30,41,0,969,
ABC acredita que o descanso vai deixar os jogadores mais forte para confronto - Tribuna do Norte,658,34,18,29,26,26,0,791,
ABC acredita que o descanso vai deixar os jogadores mais fortes para confronto - Tribuna do Norte,110,0,0,0,0,0,0,110,
ABC aguarda regularização do atacante Parraguez - Tribuna do Norte,267,30,0,16,13,14,0,340,
"ABC anuncia contratação de Javier Parraguez, o ""El Búfalo"" - Tribuna do Norte",25,0,0,0,0,0,0,25,
ABC anuncia contratação de jovem meia; veja quem é - Tribuna do Norte,280,22,13,15,14,0,0,344,
ABC anuncia contratação de novo lateral-esquerdo; veja - Tribuna do Norte,1497,32,39,28,95,56,0,1747,
ABC bate Iguatu/CE nos pênaltis e conquista vaga na Copa do Nordeste - Tribuna do Norte,1671,231,202,166,303,210,30,2813,
ABC deve repetir o time contra o Força e Luz - Tribuna do Norte,816,17,28,19,40,38,0,958,
ABC e Força e Luz entram em campo pela 4ª rodada do Campeonato Potiguar; acompanhe - Tribuna do Norte,241,0,14,0,0,23,0,278,
ABC empata com o Mirassol e se despede da Copinha - Tribuna do Norte,107,0,0,0,0,0,0,107,
ABC empata no final e decide vaga na Copa do Nordeste nos pênaltis contra Iguatu/CE - Tribuna do Norte,2528,39,64,74,112,80,20,2917,
ABC enfrenta Iguatu pela pré Copa do Nordeste; veja ao vivo na Jovem Pan News Natal - Tribuna do Norte,134,0,0,0,0,0,0,134,
ABC enfrenta Iguatu pela pré-Copa do Nordeste; veja ao vivo na Jovem Pan News Natal - Tribuna do Norte,269,0,12,0,0,0,0,281,
ABC enfrentará Iguatu na segunda fase da Pré-Copa do Nordeste - Tribuna do Norte,2143,94,67,85,113,98,19,2619,
ABC estreia com goleada em cima do Força e Luz - Tribuna do Norte,1396,63,51,39,59,65,19,1692,
ABC estreia nesta quarta-feira (3) na Copa SP de Futebol Júnior - Tribuna do Norte,436,36,38,13,13,14,0,550,
ABC está pronto para primeira decisão da temporada 2024 - Tribuna do Norte,1741,97,47,75,74,70,16,2120,
ABC fica no Grupo “B” e o América vai para o Grupo “A” no regional - Tribuna do Norte,424,24,34,32,17,24,0,555,
ABC inicia venda de ingressos para duelo contra o Souza-PB pela Copa do Nordeste - Tribuna do Norte,102,0,0,0,0,0,0,102,
ABC irá enfrentar Treze/PB na primeira fase da Copa do Brasil 2024 - Tribuna do Norte,713,38,40,32,22,35,0,880,
