# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20240101
# Data de término: 20240131
Nº dia,Novos usuários
0000,22557
0001,25280
0002,23971
0003,27478
0004,26110
0005,22378
0006,16390
0007,19657
0008,34121
0009,26423
0010,25901
0011,24752
0012,21303
0013,23273
0014,24815
0015,28618
0016,27120
0017,28576
0018,23700
0019,19385
0020,26870
0021,37792
0022,25640
0023,28619
0024,38360
0025,33998
0026,20074
0027,20087
0028,22057
0029,37713
0030,36066

# Data de início: 20240101
# Data de término: 20240131
Nº dia,Usuários recorrentes
0000,16630
0001,19257
0002,19590
0003,20066
0004,24034
0005,21236
0006,16591
0007,19196
0008,23755
0009,22162
0010,23064
0011,26013
0012,22079
0013,19340
0014,22232
0015,22414
0016,23882
0017,28854
0018,25413
0019,20440
0020,21310
0021,24386
0022,24346
0023,29729
0024,31309
0025,26540
0026,20382
0027,21447
0028,25631
0029,33208
0030,29136

#  
# Data de início: 20240101
# Data de término: 20240131
Coorte,Dia 1,Dia 7,Dia 30
0,0.032998511904761905,0.019010416666666665,0.01521577380952381
1,0.062042194092827005,0.030075949367088607,0
2,0.04681017057342459,0.030036526117947444,0
3,0.036885745640775514,0.017863675161565663,0
4,0.033618093540655154,0.019789810091573965,0
5,0.030635607079260094,0.017298397354362758,0
6,0.029867920752451472,0.01721032619571743,0
7,0.03580076098235904,0.017122103078519545,0
8,0.02664685234056727,0.012529144994747495,0
9,0.031862664338198954,0.016672707502718376,0
10,0.029475945882431933,0.017860140329674017,0
11,0.03119134559601406,0.01992970003071358,0
12,0.027982154038822794,0.015615216030056356,0
13,0.026744100022194274,0.013279573869941556,0
14,0.027556818181818182,0.012677556818181819,0
15,0.02933533702764472,0.010268933345856423,0
16,0.03281280885550504,0.012815444422481387,0
17,0.02999969481490524,0.014557329020050662,0
18,0.024335878978331567,0.011181349800855044,0
19,0.03162020130043645,0.011490157655651555,0
20,0.024513999266413986,0.008130578310306884,0
21,0.031049008062324485,0.009511731135066582,0
22,0.04319669307612815,0.018256975542542197,0
23,0.0357667360176233,0.01636886549993881,0
24,0.028269967055471464,0,0
25,0.019058751778816833,0,0
26,0.027132286122290017,0,0
27,0.029180551995214903,0,0
28,0.037709385268894766,0,0
29,0.028173316415245078,0,0
30,0,0,0

#  
# Data de início: 20240101
# Data de término: 20240131
