Gênero do espectador,Visualizações (%),Duração média da visualização,Porcentagem visualizada média (%),Tempo de exibição (horas) (%)
Feminino,29.43,0:00:58,31.85,25.81
Masculino,70.43,0:01:10,31.87,74.08
Não especificado pelo usuário,0.15,0:00:49,39.09,0.11
