Gênero do espectador,Visualizações (%),Duração média da visualização,Porcentagem visualizada média (%),Tempo de exibição (horas) (%)
Feminino,28.66,0:01:23,33.6,25.46
Masculino,71.33,0:01:38,33.72,74.53
Especificado pelo usuário,0.01,0:00:45,44.1,0.01
