Gênero do espectador,Visualizações (%),Duração média da visualização,Porcentagem visualizada média (%),Tempo de exibição (horas) (%)
Feminino,26.23,0:01:32,42.93,27.16
Masculino,73.77,0:01:28,44.29,72.84
