Gênero do espectador,Visualizações (%),Duração média da visualização,Porcentagem visualizada média (%),Tempo de exibição (horas) (%)
Feminino,27.66,0:01:19,44.31,27.57
Masculino,72.34,0:01:19,46.84,72.42
Especificado pelo usuário,0.01,0:01:49,86.52,0.01
