Gênero do espectador,Visualizações (%),Duração média da visualização,Porcentagem visualizada média (%),Tempo de exibição (horas) (%)
Feminino,28.1,0:01:13,28.14,22.61
Masculino,71.78,0:01:38,25.79,77.31
Especificado pelo usuário,0.13,0:00:51,35.6,0.07
