Idade do espectador,Visualizações (%),Duração média da visualização,Porcentagem visualizada média (%),Tempo de exibição (horas) (%)
13 a 17 anos,0.54,0:02:43,1.35,0.35
18 a 24 anos,4.64,0:02:14,1.15,2.48
25 a 34 anos,11.76,0:04:31,2.5,12.66
35 a 44 anos,15.44,0:03:52,2.18,14.24
45 a 54 anos,18.1,0:03:59,2.18,17.19
55 a 64 anos,29.96,0:04:25,2.42,31.55
A partir de 65 anos,19.56,0:04:37,2.53,21.53
