Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
0x7c0ab6a38bc35a9:0x11b4ab0b067e89f3,Maranguape,BR,BR-CE,30,0.4933,0:00:59
0x705d59f85ab6275:0x60b6f0374f7f3fba,Arapiraca,BR,BR-AL,29,1.1385,0:02:21
0x7ab17fa77c07f29:0x78d856ff05dd791,Olinda,BR,BR-PE,29,0.8109,0:01:40
0x7166b5105b7e591:0xce4ae4a48d9e6ace,Simões Filho,BR,BR-BA,28,0.6987,0:01:29
0x7168d92b427d86b:0x9dd7bc3f6ebbbe6e,Catu,BR,BR-BA,28,1.5814,0:03:23
0x7a45c0804e3e49d:0xf69be987abbd7f9b,Sousa,BR,BR-PB,27,1.482,0:03:17
0x7c75a680f6344f5:0xdf7b7d96071db65d,Eusébio,BR,BR-CE,27,0.3425,0:00:45
0x716bc4664f79dcd:0xa2750b2cba29fb80,Alagoinhas,BR,BR-BA,26,0.6807,0:01:34
0x7afb766f61853ad:0xc55c745a2a567029,Jardim do Seridó,BR,BR-RN,25,0.944,0:02:15
0x7f695d40a5ce66d:0x4a173edc2236853a,Paço do Lumiar,BR,BR-MA,24,0.9777,0:02:26
0x70135d59c588b69:0x7dbb4b887595602c,Rio Largo,BR,BR-AL,22,1.3987,0:03:48
0x7ab6289b53fb53b:0xf45836ebbef680cb,Goiana,BR,BR-PE,22,0.2846,0:00:46
0x94dce35351cdb3dd:0x6d2f6ba5bacbe809,Curitiba,BR,BR-PR,22,0.91,0:02:28
0x7ac95600485e719:0x3652e9964a332ad6,Conde,BR,BR-PB,21,1.7735,0:05:04
0x9489a825ba544f99:0xd96ef82be62edddc,Dourados,BR,BR-MS,21,0.3672,0:01:02
0x7ab158cdfd2af59:0x29d02a55f0b8b31e,Paulista,BR,BR-PE,20,0.6737,0:02:01
0x7a472d082d8edb7:0x1c5023bf5f28ade8,Cajazeiras,BR,BR-PB,18,0.3926,0:01:18
0x7a9738acf62b823:0xed6175c353220b3c,Santa Cruz do Capibaribe,BR,BR-PE,18,0.6374,0:02:07
0x70f788b0aaeb211:0x67949bda80a215ba,Nossa Senhora da Glória,BR,BR-SE,17,0.5737,0:02:01
0x94909866a1f06f3d:0xeb11fc7873829cf9,Três Lagoas,BR,BR-MS,16,2.793,0:10:28
0x70153979e5e3b9d:0x2093f0c10c197fd8,Marechal Deodoro,BR,BR-AL,15,0.5684,0:02:16
