Gênero do espectador,Visualizações (%),Duração média da visualização,Porcentagem visualizada média (%),Tempo de exibição (horas) (%)
Feminino,12.92,0:05:09,3.05,15.2
Masculino,87.04,0:04:15,2.41,84.78
Especificado pelo usuário,0.04,0:01:53,0.99,0.02
