# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20240101
# Data de término: 20240220
Nº dia,Novos usuários
0000,22557
0001,25280
0002,23971
0003,27478
0004,26110
0005,22378
0006,16390
0007,19657
0008,34121
0009,26423
0010,25901
0011,24752
0012,21303
0013,23273
0014,24815
0015,28618
0016,27120
0017,28576
0018,23700
0019,19385
0020,26870
0021,37792
0022,25640
0023,28619
0024,38360
0025,33998
0026,20074
0027,20087
0028,22057
0029,37713
0030,36066
0031,22126
0032,26489
0033,23451
0034,19892
0035,27690
0036,25805
0037,25251
0038,21219
0039,18501
0040,13451
0041,15089
0042,19407
0043,18928
0044,30878
0045,23651
0046,25161
0047,21881
0048,45641
0049,36188
0050,26838

# Data de início: 20240101
# Data de término: 20240220
Nº dia,Usuários recorrentes
0000,16630
0001,19257
0002,19590
0003,20066
0004,24034
0005,21236
0006,16591
0007,19196
0008,23755
0009,22162
0010,23064
0011,26013
0012,22079
0013,19340
0014,22232
0015,22414
0016,23882
0017,28854
0018,25413
0019,20440
0020,21310
0021,24386
0022,24346
0023,29729
0024,31309
0025,26540
0026,20382
0027,21447
0028,25631
0029,33208
0030,29136
0031,22904
0032,27177
0033,21931
0034,17337
0035,24588
0036,23312
0037,25120
0038,25432
0039,24312
0040,17714
0041,15994
0042,19073
0043,17617
0044,21393
0045,26365
0046,23458
0047,19209
0048,22400
0049,22827
0050,21603

#  
# Data de início: 20240101
# Data de término: 20240220
Coorte,Dia 1,Dia 7,Dia 30
0,0.032998511904761905,0.019010416666666665,0.01521577380952381
1,0.062042194092827005,0.030075949367088607,0.015156118143459915
2,0.04681017057342459,0.030036526117947444,0.0135465796659456
3,0.036885745640775514,0.017863675161565663,0.008230703572735032
4,0.033618093540655154,0.019789810091573965,0.005900067604941306
5,0.030635607079260094,0.017298397354362758,0.00919431624086928
6,0.029867920752451472,0.01721032619571743,0.009005403241945167
7,0.03580076098235904,0.017122103078519545,0.010463507436873054
8,0.02664685234056727,0.012529144994747495,0.006943554792590126
9,0.031862664338198954,0.016672707502718376,0.006886553098948894
10,0.029475945882431933,0.017860140329674017,0.003927888004834324
11,0.03119134559601406,0.01992970003071358,0.004436405828754735
12,0.027982154038822794,0.015615216030056356,0.005518159048215404
13,0.026744100022194274,0.013279573869941556,0.003329141081600947
14,0.027556818181818182,0.012677556818181819,0.004580965909090909
15,0.02933533702764472,0.010268933345856423,0.00475877398954322
16,0.03281280885550504,0.012815444422481387,0.004348685510970548
17,0.02999969481490524,0.014557329020050662,0.003997924741355632
18,0.024335878978331567,0.011181349800855044,0.004165600906200899
19,0.03162020130043645,0.011490157655651555,0.004453549478934711
20,0.024513999266413986,0.008130578310306884,0.0034234013938134245
21,0.031049008062324485,0.009511731135066582,0.004959688377570432
22,0.04319669307612815,0.018256975542542197,0
23,0.0357667360176233,0.01636886549993881,0
24,0.028269967055471464,0.01604932775353931,0
25,0.019058751778816833,0.012680422850172799,0
26,0.027132286122290017,0.011380847288935047,0
27,0.029180551995214903,0.01021105699393318,0
28,0.037709385268894766,0.013905586278752905,0
29,0.028173316415245078,0.010808778608017294,0
30,0.0181755407038398,0.009396039359786924,0
31,0.028770636319923066,0.0134236255810226,0
32,0.020151215238342474,0.011032871467047409,0
33,0.021636636087862284,0.008552318994188809,0
34,0.023151638798953298,0.007495453940657293,0
35,0.025336041001837346,0.00780066402346646,0
36,0.026508545517963028,0.008126961981164981,0
37,0.026053370786516854,0.011762640449438201,0
38,0.03216706664982527,0.014820428613532062,0
39,0.0266030989272944,0.012872467222884387,0
40,0.03573524616889469,0.010629279426149331,0
41,0.03923559271424306,0.01057031949835772,0
42,0.031223509465950833,0.008147310916454742,0
43,0.027102623456790122,0.008198302469135802,0
44,0.01875,0.008660714285714285,0
45,0.026650960759773246,0,0
46,0.018658404984857452,0,0
47,0.02592247559641946,0,0
48,0.01256586947709769,0,0
49,0.020656444050183752,0,0
50,0.022974480546646213,0,0

#  
# Data de início: 20240101
# Data de término: 20240220
Coorte,Dia 1,Dia 7,Dia 30
0,114.30795847750865,108.19256756756756,126.91457286432161
1,372.7370218579235,316.27272727272725,259.9583333333333
2,310.7162837162837,354.43042071197414,233.03553299492387
3,164.4843945068664,241.50757575757575,71.45161290322581
4,88.12582781456953,152.125,71.66666666666667
5,245.68333333333334,131.62458471760797,119.90647482014388
6,128.73451327433628,150.87280701754386,101.02325581395348
7,163.97631133671743,169.28735632183907,205.2246376811594
8,252.2283653846154,301.1120448179272,114.82014388489209
9,254.87676508344032,274.08877284595303,132.84
10,204.04277286135692,213.8850267379679,119.1304347826087
11,140.27602523659306,198.7467362924282,157.96825396825398
12,147.19573643410854,144.36882129277566,109.29268292682927
13,141.7478108581436,193.18490566037735,60.666666666666664
14,193.33124018838305,160.2490566037736,144.890243902439
15,295.2674418604651,140.94323144104803,205.3764705882353
16,257.83183568677794,153.8314606741573,266.37179487179486
17,177.58095238095237,152.781045751634,103.12676056338029
18,122.43570057581574,102.81122448979592,133.44776119402985
19,181.91497227356746,89.69277108433735,123.79629629629629
20,145.10766721044047,139.94505494505495,87.12857142857143
21,364.22518765638034,280.87537091988133,210.24550898203591
22,315.2055813953488,280.6945107398568,0
23,256.7046186895811,280.53444180522564,0
24,188.1861167002012,164.16819012797075,0
25,163.7138047138047,189.04383561643834,0
26,443.90981963927857,161.935960591133,0
27,173.06,187.62765957446808,0
28,223.62158469945356,200.06513409961687,0
29,214.45583756345178,246.77777777777777,0
30,232.39473684210526,313.4583333333333,0
31,196.3218806509946,242.8171206225681,0
32,127.916142557652,163.02892561983472,0
33,147.5414847161572,184.28813559322035,0
34,157.78669724770643,163.64492753623188,0
35,168.0521327014218,206.75263157894736,0
36,178.45365853658538,223.23809523809524,0
37,155.7353433835846,214.52416356877325,0
38,141.24098360655736,197.600790513834,0
39,100.66363636363636,326.28155339805824,0
40,126.10623556581986,135.57142857142858,0
41,128.4056074766355,228.6516129032258,0
42,130.92936802973978,263.8273381294964,0
43,150.04301075268816,265.31944444444446,0
44,149.43217054263565,220.24229074889868,0
45,201.41281138790035,0,0
46,143.17249417249417,0,0
47,192.26235741444867,0,0
48,168.55373406193078,0,0
49,110.0297619047619,0,0
50,204.3180987202925,0,0

#  
# Data de início: 20240110
# Data de término: 20240220
Coorte,Usuários
0000,1
0001,0.026803005654969403
0002,0.01732479923567537
0003,0.014944902443456856
0004,0.0139353186039065
0005,0.014062134263899982
0006,0.014292513719260132
0007,0.011858501062949502
0008,0.008794342354553996
0009,0.007967081071616179
0010,0.00733746444534742
0011,0.007184638992655472
0012,0.006967301021427039
0013,0.006935986579112993
0014,0.007101331595816334
0015,0.006410487837898822
0016,0.006014827248566233
0017,0.005628248573943874
0018,0.005760554857445687
0019,0.0055850652364499
0020,0.005377673301001365
0021,0.005725738784771876
0022,0.005314033380216201
0023,0.005147578751359369
0024,0.0052412294736289364
0025,0.004760071520844562
0026,0.0049586570630562226
0027,0.005816741955272991
0028,0.006309945484959224
0029,0.004783381167145005
0030,0.004218827944984203
0031,0.0036536204521100167
0032,0.0037063234651392818
0033,0.00411657166072086
0034,0.004278674294463013
0035,0.004267720275818388
0036,0.004094975911906401
0037,0.003641293054827187
0038,0.0033140406028733436
0039,0.0037106143284632988
0040,0.003365480776756442
0041,0.0031418061472064758

#  
# Data de início: 20240110
# Data de término: 20240220
Coorte,Tempo médio de engajamento
0000,136.1752094740164
0001,188.4634242462689
0002,191.20592452816106
0003,193.53953382226916
0004,195.02077794379596
0005,192.87356248304417
0006,191.5400435959099
0007,197.44588596951525
0008,205.36985080910347
0009,223.07516684614865
0010,196.90487023745504
0011,202.23286877633979
0012,196.6975244037024
0013,194.03357725141217
0014,188.63106442899078
0015,204.59677173768853
0016,195.26200178537326
0017,180.9226971921739
0018,171.61901942970823
0019,186.3881825101055
0020,191.7915341648129
0021,231.0087342217831
0022,213.36960302359728
0023,156.47359314977749
0024,139.85252994715887
0025,151.85776636152286
0026,142.3918108748173
0027,137.7418647652102
0028,133.42078456585574
0029,125.50681527908925
0030,132.44867472651012
0031,148.7053431547054
0032,127.19959068059946
0033,122.25142149963102
0034,143.68387961011607
0035,136.3846367757782
0036,147.68124876876635
0037,138.2005629596876
0038,115.66529640025023
0039,107.34961597542242
0040,106.31409914712154
0041,131.32777777777778

#  
# Data de início: 20231024
# Data de término: 20240220
Coorte,LTV
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
