# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20240101
# Data de término: 20240214
Nº dia,Novos usuários
0000,22557
0001,25280
0002,23971
0003,27478
0004,26110
0005,22378
0006,16390
0007,19657
0008,34121
0009,26423
0010,25901
0011,24752
0012,21303
0013,23273
0014,24815
0015,28618
0016,27120
0017,28576
0018,23700
0019,19385
0020,26870
0021,37792
0022,25640
0023,28619
0024,38360
0025,33998
0026,20074
0027,20087
0028,22057
0029,37713
0030,36066
0031,22126
0032,26489
0033,23451
0034,19892
0035,27690
0036,25805
0037,25251
0038,21219
0039,18501
0040,13451
0041,15089
0042,19407
0043,18928
0044,30878

# Data de início: 20240101
# Data de término: 20240214
Nº dia,Usuários recorrentes
0000,16630
0001,19257
0002,19590
0003,20066
0004,24034
0005,21236
0006,16591
0007,19196
0008,23755
0009,22162
0010,23064
0011,26013
0012,22079
0013,19340
0014,22232
0015,22414
0016,23882
0017,28854
0018,25413
0019,20440
0020,21310
0021,24386
0022,24346
0023,29729
0024,31309
0025,26540
0026,20382
0027,21447
0028,25631
0029,33208
0030,29136
0031,22904
0032,27177
0033,21931
0034,17337
0035,24588
0036,23312
0037,25120
0038,25432
0039,24312
0040,17714
0041,15994
0042,19073
0043,17617
0044,21393

#  
# Data de início: 20240101
# Data de término: 20240214
Coorte,Dia 1,Dia 7,Dia 30
0,0.032998511904761905,0.019010416666666665,0.01521577380952381
1,0.062042194092827005,0.030075949367088607,0.015156118143459915
2,0.04681017057342459,0.030036526117947444,0.0135465796659456
3,0.036885745640775514,0.017863675161565663,0.008230703572735032
4,0.033618093540655154,0.019789810091573965,0.005900067604941306
5,0.030635607079260094,0.017298397354362758,0.00919431624086928
6,0.029867920752451472,0.01721032619571743,0.009005403241945167
7,0.03580076098235904,0.017122103078519545,0.010463507436873054
8,0.02664685234056727,0.012529144994747495,0.006943554792590126
9,0.031862664338198954,0.016672707502718376,0.006886553098948894
10,0.029475945882431933,0.017860140329674017,0.003927888004834324
11,0.03119134559601406,0.01992970003071358,0.004436405828754735
12,0.027982154038822794,0.015615216030056356,0.005518159048215404
13,0.026744100022194274,0.013279573869941556,0.003329141081600947
14,0.027556818181818182,0.012677556818181819,0.004580965909090909
15,0.02933533702764472,0.010268933345856423,0.00021915406530791147
16,0.03281280885550504,0.012815444422481387,0
17,0.02999969481490524,0.014557329020050662,0
18,0.024335878978331567,0.011181349800855044,0
19,0.03162020130043645,0.011490157655651555,0
20,0.024513999266413986,0.008130578310306884,0
21,0.031049008062324485,0.009511731135066582,0
22,0.04319669307612815,0.018256975542542197,0
23,0.0357667360176233,0.01636886549993881,0
24,0.028269967055471464,0.01604932775353931,0
25,0.019058751778816833,0.012680422850172799,0
26,0.027132286122290017,0.011380847288935047,0
27,0.029180551995214903,0.01021105699393318,0
28,0.037709385268894766,0.013905586278752905,0
29,0.028173316415245078,0.010808778608017294,0
30,0.0181755407038398,0.009396039359786924,0
31,0.028770636319923066,0.0134236255810226,0
32,0.020151215238342474,0.011032871467047409,0
33,0.021636636087862284,0.008552318994188809,0
34,0.023151638798953298,0.007495453940657293,0
35,0.025336041001837346,0.00780066402346646,0
36,0.026508545517963028,0.008126961981164981,0
37,0.026053370786516854,0.011762640449438201,0
38,0.03216706664982527,0.0005473453749315818,0
39,0.0266030989272944,0,0
40,0.03573524616889469,0,0
41,0.03923559271424306,0,0
42,0.031223509465950833,0,0
43,0.027102623456790122,0,0
44,0.001488095238095238,0,0

#  
# Data de início: 20240101
# Data de término: 20240214
Coorte,Dia 1,Dia 7,Dia 30
0,114.30795847750865,108.19256756756756,126.91457286432161
1,372.7370218579235,316.27272727272725,259.9583333333333
2,310.7162837162837,354.43042071197414,233.03553299492387
3,164.4843945068664,241.50757575757575,71.45161290322581
4,88.12582781456953,152.125,71.66666666666667
5,245.68333333333334,131.62458471760797,119.90647482014388
6,128.73451327433628,150.87280701754386,101.02325581395348
7,163.97631133671743,169.28735632183907,205.2246376811594
8,252.2283653846154,301.1120448179272,114.82014388489209
9,254.87676508344032,274.08877284595303,132.84
10,204.04277286135692,213.8850267379679,119.1304347826087
11,140.27602523659306,198.7467362924282,157.96825396825398
12,147.19573643410854,144.36882129277566,109.29268292682927
13,141.7478108581436,193.18490566037735,60.666666666666664
14,193.33124018838305,160.2490566037736,143.0731707317073
15,295.2674418604651,140.94323144104803,0
16,257.83183568677794,153.8314606741573,0
17,177.58095238095237,152.781045751634,0
18,122.43570057581574,102.81122448979592,0
19,181.91497227356746,89.69277108433735,0
20,145.10766721044047,139.94505494505495,0
21,364.22518765638034,280.87537091988133,0
22,315.2055813953488,280.6945107398568,0
23,256.7046186895811,280.53444180522564,0
24,188.1861167002012,164.16819012797075,0
25,163.7138047138047,189.04383561643834,0
26,443.90981963927857,161.935960591133,0
27,173.06,187.62765957446808,0
28,223.62158469945356,200.06513409961687,0
29,214.45583756345178,246.77777777777777,0
30,232.39473684210526,313.4583333333333,0
31,196.3218806509946,242.8171206225681,0
32,127.916142557652,163.02892561983472,0
33,147.5414847161572,184.28813559322035,0
34,157.78669724770643,163.64492753623188,0
35,168.0521327014218,206.02631578947367,0
36,178.45365853658538,222.1904761904762,0
37,155.7353433835846,214.52416356877325,0
38,141.24098360655736,0,0
39,100.66363636363636,0,0
40,126.10623556581986,0,0
41,128.4056074766355,0,0
42,130.92936802973978,0,0
43,149.88817204301074,0,0
44,32.76744186046512,0,0

#  
# Data de início: 20240104
# Data de término: 20240214
Coorte,Usuários
0000,1
0001,0.028155031044437707
0002,0.019223925215905855
0003,0.01643769923961194
0004,0.01521032812206218
0005,0.015256427290537342
0006,0.015372111231052695
0007,0.012882458052987737
0008,0.009707283430440715
0009,0.008705687354292044
0010,0.008112780292725285
0011,0.008023058071609492
0012,0.007857798049330561
0013,0.007980183843160361
0014,0.008247896287830403
0015,0.007380860712334326
0016,0.0071284758121565
0017,0.006959397353669715
0018,0.0071459326646941945
0019,0.006934339790801403
0020,0.006819667348352872
0021,0.007048840088719184
0022,0.0066283630949540455
0023,0.006149555856088647
0024,0.00636919082526087
0025,0.006425117446326646
0026,0.006207200515838359
0027,0.006096804684125212
0028,0.006198680310274727
0029,0.00633638291188943
0030,0.00589710818966203
0031,0.0056779830413710595
0032,0.0059394447896591205
0033,0.005355190879968551
0034,0.005513392097471327
0035,0.005260606266798217
0036,0.005249394956100839
0037,0.004542649478880965
0038,0.004699255032027005
0039,0.004536955808987071
0040,0.003725918826658626
0041,0.0028463869249839317

#  
# Data de início: 20240104
# Data de término: 20240214
Coorte,Tempo médio de engajamento
0000,129.91913344546245
0001,186.24113664142993
0002,193.20718258768935
0003,195.36943483699366
0004,194.31032731780144
0005,188.4594564382832
0006,186.0616083963771
0007,189.24329877661324
0008,192.27157269812898
0009,199.64043648957096
0010,187.47543974538203
0011,184.25144777396693
0012,179.2081436419158
0013,177.2496926616163
0014,171.8777038400263
0015,183.1086653116399
0016,169.1931543120381
0017,157.05771912109168
0018,144.73560693460334
0019,150.42813913090995
0020,158.97622826522
0021,202.39647617409207
0022,178.60738771991586
0023,118.52464230554392
0024,113.28565255285787
0025,127.81114309048219
0026,115.19577592049284
0027,116.79107633378472
0028,123.7924551972868
0029,106.35546685486297
0030,108.23569237277749
0031,141.8590182647547
0032,120.14661354992766
0033,126.95454923405308
0034,132.17786453831246
0035,130.12564306738406
0036,89.02503106496692
0037,105.8645186214344
0038,91.6008035644695
0039,69.21705509434489
0040,68.00691480954639
0041,60.49473684210526

#  
# Data de início: 20231018
# Data de término: 20240214
Coorte,LTV
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
0101,0
0102,0
0103,0
0104,0
0105,0
0106,0
0107,0
0108,0
0109,0
0110,0
0111,0
0112,0
0113,0
0114,0
0115,0
0116,0
0117,0
0118,0
0119,0
