# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20240101
# Data de término: 20240131
Origem / mídia da sessão,Usuários,Sessões,Sessões engajadas,Tempo de engajamento médio por sessão,Sessões engajadas por usuário,Eventos por sessão,Taxa de engajamento,Contagem de eventos,Conversões,Receita total
(direct) / (none),618788,1029022,749743,139.85396424954956,1.2116314472808134,8.419851081901067,0.7285976393118904,8664212,0,0
google / organic,363347,888957,706515,89.47573279697443,1.9444635568753836,9.907458965956733,0.7947684758655368,8807305,0,0
(not set),26603,50005,3,114.63123687631237,0.00011276923655226854,10.895990400959905,0.00005999400059994001,544854,0,0
news.google.com / referral,26016,47348,27373,28.30751034890597,1.052160209102091,6.565578271521501,0.5781236799864831,310867,0,0
l.instagram.com / referral,22233,35767,22638,18.3483658120614,1.0182161651598975,6.5567422484413,0.6329297956216624,234515,0,0
lm.facebook.com / referral,13970,33883,19359,16.937166130507926,1.3857551896921976,5.568574211256382,0.5713484638314199,188680,0,0
m.facebook.com / referral,8522,13609,6745,10.4953339701668,0.791480873034499,5.668013814387538,0.4956278933059005,77136,0,0
t.co / referral,5762,19482,13176,71.53418540190945,2.2867060048594237,8.301406426444924,0.6763165999384047,161728,0,0
l.facebook.com / referral,3709,9980,7470,71.20160320641283,2.0140199514693986,9.47434869739479,0.748496993987976,94554,0,0
bing / organic,3139,7616,6698,232.51194852941177,2.133800573431029,23.590992647058822,0.8794642857142857,179669,0,0
instagram.com / referral,2100,2725,2115,60.65798165137615,1.0071428571428571,7.011376146788991,0.7761467889908257,19106,0,0
blog-tribunadonorte-com-br.cdn.ampproject.org / referral,1816,2951,2203,65.33886818027787,1.2131057268722467,5.722466960352423,0.7465266011521519,16887,0,0
br.search.yahoo.com / referral,931,2240,1927,265.315625,2.0698174006444683,20.777232142857144,0.8602678571428571,46541,0,0
newsshowcase / gnews,736,864,469,33.5474537037037,0.6372282608695652,6.434027777777778,0.5428240740740741,5559,0,0
facebook.com / referral,356,359,263,5.183844011142061,0.7387640449438202,4.721448467966574,0.7325905292479109,1695,0,0
googleapis.com / referral,348,665,496,70.37744360902256,1.4252873563218391,8.76842105263158,0.7458646616541353,5831,0,0
linkedin.com / referral,316,350,226,24.277142857142856,0.7151898734177216,7.3,0.6457142857142857,2555,0,0
pt.m.wikipedia.org / referral,122,239,167,54.37656903765691,1.3688524590163935,7.589958158995816,0.698744769874477,1814,0,0
skyscrapercity.com / referral,105,751,626,102.63382157123834,5.961904761904762,12.343541944074568,0.833555259653795,9270,0,0
lens.google.com / referral,96,173,138,21.497109826589597,1.4375,7.578034682080925,0.7976878612716763,1311,0,0
duckduckgo / organic,93,124,101,117.31451612903226,1.086021505376344,11.596774193548388,0.8145161290322581,1438,0,0
blogdobg.com.br / referral,85,364,296,89.53021978021978,3.4823529411764707,12.923076923076923,0.8131868131868132,4704,0,0
pt.wikipedia.org / referral,80,141,105,71.36170212765957,1.3125,10.71631205673759,0.7446808510638298,1511,0,0
yahoo / organic,62,91,69,44.56043956043956,1.1129032258064515,8.923076923076923,0.7582417582417582,812,0,0
tguanabara.com.br / referral,48,127,88,330.3937007874016,1.8333333333333333,28.763779527559056,0.6929133858267716,3653,0,0
linktr.ee / referral,43,46,22,26.543478260869566,0.5116279069767442,6.326086956521739,0.4782608695652174,291,0,0
l.threads.net / referral,39,58,24,22.96551724137931,0.6153846153846154,4.344827586206897,0.41379310344827586,252,0,0
mail.google.com / referral,37,93,74,60.54838709677419,2,8.913978494623656,0.7956989247311828,829,0,0
