Idade do espectador,Visualizações (%),Duração média da visualização,Porcentagem visualizada média (%),Tempo de exibição (horas) (%)
13 a 17 anos,0.3,0:00:39,25.99,0.18
18 a 24 anos,11.75,0:01:06,33.35,11.72
25 a 34 anos,18.92,0:01:11,32.93,20.39
35 a 44 anos,21.47,0:01:12,32.88,23.46
45 a 54 anos,18.49,0:01:09,30.27,19.45
55 a 64 anos,15.87,0:01:02,30.12,14.91
A partir de 65 anos,13.2,0:00:49,29.78,9.9
