Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
0x94bdad614c2df789:0x8f2fb0f070642c09,São José do Rio Preto,BR,BR-SP,124,1.2612,0:00:36
0x9ea2ac4b4e5c1d:0xd475bc9356fcad22,Volta Redonda,BR,BR-RJ,124,1.1644,0:00:33
0xb81fa3965b36af:0x521cd91111dd2e08,Serra,BR,BR-ES,123,0.9367,0:00:27
0x7b1fbebe99aa675:0xdc92d59b9446df0a,Santa Cruz,BR,BR-RN,118,1.2381,0:00:37
0x92325b665998520b:0x75d0f25ad2c5198b,Porto Velho,BR,BR-RO,113,1.0519,0:00:33
0x7b25230dac88e1b:0x7195c0a9f2b9d399,Macaíba,BR,BR-RN,109,0.9213,0:00:30
0x94ce1f9dd9bf50e5:0x83b44c5ff623bb51,Praia Grande,BR,BR-SP,109,0.9733,0:00:32
0x9990f48a8830e1:0x96e11303c14c3674,São Gonçalo,BR,BR-RJ,108,1.0097,0:00:33
0x94cdd851f596f5e1:0x6ccc8b4e43c28b9f,Mogi das Cruzes,BR,BR-SP,107,0.9527,0:00:32
0x94c631c14f4c9d3b:0x270ec30013dc341c,Piracicaba,BR,BR-SP,100,0.9461,0:00:34
0xafffe7a9289aff:0x8f04aebcd0ce11f4,Ipatinga,BR,BR-MG,100,1.0352,0:00:37
0x705d59f85ab6275:0x60b6f0374f7f3fba,Arapiraca,BR,BR-AL,98,0.8186,0:00:30
0x94bf689c0ddaa221:0x251c368f6fa134a0,Bauru,BR,BR-SP,98,0.8595,0:00:31
0x951ebcd16435f073:0xf514f707b5773bf4,Caxias do Sul,BR,BR-RS,98,0.8418,0:00:30
0x7ad8fb3d81d0a07:0x3db470621b2d143a,Nova Cruz,BR,BR-RN,97,0.8276,0:00:30
0x94e81ac65f102321:0xacb0f4e64629b2f1,Ponta Grossa,BR,BR-PR,90,0.8705,0:00:34
0x995d694889f955:0x23ff502568217834,Nova Iguaçu,BR,BR-RJ,89,0.7101,0:00:28
0x97073d3c0566d5:0x5115f34a20c5ad67,Cabo Frio,BR,BR-RJ,87,0.7066,0:00:29
0x97b4d9abd0d487:0x1adf24037f21b4b2,Rio das Ostras,BR,BR-RJ,86,0.8443,0:00:35
0x94bfd72c62b64a63:0xa6490d177f5adcfa,Marília,BR,BR-SP,85,0.7512,0:00:31
0x94d8cc949bf3cf61:0xef02eadd26842207,Itajaí,BR,BR-SC,84,0.8764,0:00:37
0x7ab158cdfd2af59:0x29d02a55f0b8b31e,Paulista,BR,BR-PE,83,0.6796,0:00:29
0x7b3ba9a78752cb7:0x3d7bde314ec9ded5,Ceará-Mirim,BR,BR-RN,83,0.6548,0:00:28
0x92c55fa57838978f:0x9b2552d5a3c79685,Imperatriz,BR,BR-MA,83,0.8558,0:00:37
0x94ce7176a5cf4309:0x7678f276a368e6e2,Suzano,BR,BR-SP,80,1.1641,0:00:52
0x7adb41082fa56fb:0x1d6fccb961a28124,Guarabira,BR,BR-PB,79,0.9776,0:00:44
0x92a45fe447932a59:0xf3812b35573454d3,Ananindeua,BR,BR-PA,79,0.7685,0:00:35
0x94cf4ca60d3490fd:0x22c4318b2dde5682,Indaiatuba,BR,BR-SP,79,0.8306,0:00:37
0x95274a45dbfb5d61:0x100bf170797fe362,São José,BR,BR-SC,79,0.8429,0:00:38
0x7463b073025e405:0x78be45452bd92ae3,Vitória da Conquista,BR,BR-BA,78,0.6357,0:00:29
0x7bad6a41f7216d3:0x2799cbfa6bc83582,Martins,BR,BR-RN,75,0.5758,0:00:27
0xab54b430dce6f5:0x231bf948b0041bbb,Montes Claros,BR,BR-MG,75,0.7137,0:00:34
0x95197aa8021e5571:0xd0de460f7518f586,Canoas,BR,BR-RS,73,0.7973,0:00:39
0xb1a7947c2e06c7:0x76454399f628aa6f,Governador Valadares,BR,BR-MG,72,0.737,0:00:36
0x94ccf8ea3cf365e7:0xe826950860bd7f50,Taubaté,BR,BR-SP,70,0.75,0:00:38
0x7a1789b9e348137:0x6fac36329d98a8ea,Juazeiro do Norte,BR,BR-CE,69,0.8353,0:00:43
