# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20220101
# Data de término: 20221231
Título da página e nome da tela,Visualizações,Usuários,Visualizações por usuário,Tempo médio de engajamento,Contagem de eventos,Conversões,Receita total
PRF faz maior apreensão de cocaína do ano - 19/09/2022 - Notícia - Tribuna do Norte,32223,25410,1.2681227863046045,51.78370720188902,131481,0,0
Diretor de hospital em Natal e pai de paciente trocam agressões em ala pediátrica; vídeo - 08/05/2022 - Notícia - Tribuna do Norte,29572,24567,1.2037285789880734,54.23429804208898,81889,0,0
Coluna: Roda Viva - Cassiano Arruda Câmara - Tribuna do Norte,29385,2829,10.387062566277837,369.9409685401202,56979,0,0
Assaí abre mais de 250 vagas de emprego para nova loja na Grande Natal - 05/07/2022 - Notícia - Tribuna do Norte,28513,22376,1.27426707186271,43.71934215230604,82264,0,0
Arquidiocese de Natal afasta padre após suposto envolvimento em escândalo sexual - 03/06/2022 - Notícia - Tribuna do Norte,28218,23856,1.1828470824949697,36.791247484909455,84233,0,0
Tribuna do Norte - TN Online - Maior produtor de conteúdo jornalístico do RN,26786,19747,1.3564592089937713,17.613358991239174,71325,0,0
Obras da loja Havan progridem em Natal; estátua já está sendo instalada - 17/05/2022 - Notícia - Tribuna do Norte,26636,22025,1.2093530079455164,58.57589103291714,80946,0,0
Coluna: - Tribuna do Norte,25340,2453,10.330207908683246,126.48552792498981,58457,0,0
Dia Livre de Impostos traz descontos de até 70%; confira lista de lojas participantes - 02/06/2022 - Notícia - Tribuna do Norte,25025,21157,1.182823651746467,36.311149974003875,75006,0,0
"Rogério Marinho lidera com 28,41% na pesquisa para o Senado - 27/09/2022 - Notícia - Tribuna do Norte",24835,19888,1.2487429605792437,48.321701528559935,115061,0,0
"Prefeitura de Natal lança concurso para professores de ensino fundamental; salário de R$ 2.577,26 - 11/07/2022 - Notícia - Tribuna do Norte",24752,16790,1.4742108397855866,50.44562239428231,68383,0,0
Inteligência da Polícia Civil apura suposto 'salve' de facção criminosa no RN - 06/10/2022 - Notícia - Tribuna do Norte,24635,18361,1.3417025216491476,36.42682860410653,94800,0,0
Cruzamento da Alexandrino com a Hermes será interditado por 9 meses - 28/04/2022 - Notícia - Tribuna do Norte,24485,20092,1.2186442365120447,71.85282699581923,67173,0,0
Guarda municipal morre e outra é baleada no Parque da Cidade de Natal - 29/09/2022 - Notícia - Tribuna do Norte,24275,17682,1.3728650605135166,43.666666666666664,115017,0,0
"Bolsonaro desmente PT sobre o mínimo, 13º salário e férias - 26/10/2022 - Notícia - Tribuna do Norte",24069,19336,1.2447765825403392,51.399100124120814,117950,0,0
Candidato Wendel Lagartixa é alvo de tentativa de assassinato na Grande Natal - 28/09/2022 - Notícia - Tribuna do Norte,23794,19438,1.2240971293342937,66.972476592242,105496,0,0
Bandidos fazem motorista mudar rota de ônibus e roubam passageiros na Grande Natal - 06/10/2022 - Notícia - Tribuna do Norte,23434,17450,1.3429226361031519,46.16882521489971,80836,0,0
Cosern abre seleção para capacitação profissional de nova turma eletricistas em Natal - 25/11/2022 - Notícia - Tribuna do Norte,23335,11924,1.9569775243206977,96.63795706138879,187250,0,0
Helicóptero bate em rede de transmissão e provoca apagão no interior do RN - 05/06/2022 - Notícia - Tribuna do Norte,23169,17713,1.308022356461356,45.12312990458985,65960,0,0
Músico de banda de forró se afoga em praia de Natal; bombeiros entram no 3º dia de buscas - 18/07/2022 - Notícia - Tribuna do Norte,23158,20343,1.1383768372413114,42.93152435727277,68115,0,0
Loja da Havan está aberta e funcionando com alvará provisório - 24/09/2022 - Notícia - Tribuna do Norte,22966,18048,1.2724955673758864,83.20462101063829,107667,0,0
Resultado de seleção para o concurso do Censo 2022 será divulgado nesta sexta-feira (20) - 19/05/2022 - Notícia - Tribuna do Norte,22802,18040,1.2639689578713968,70.64861419068737,77758,0,0
Polícia Civil prende líder do PCC no Rio Grande do Norte - 24/08/2022 - Notícia - Tribuna do Norte,22541,18041,1.2494318496757386,64.62978770578128,68824,0,0
Pão de Açúcar inaugura loja e tem grande movimento em 1º dia de funcionamento em Natal - 30/06/2022 - Notícia - Tribuna do Norte,22436,19725,1.1374397972116603,70.8491761723701,67741,0,0
Madu Morais é a nova Miss Rio Grande do Norte - 25/06/2022 - Notícia - Tribuna do Norte,21293,18514,1.15010262504051,48.19153073349897,62118,0,0
Candidato é alvo de atentado na Grande Natal; criminoso é morto em troca de tiros - 28/09/2022 - Notícia - Tribuna do Norte,20986,15725,1.33456279809221,57.681971383147854,91149,0,0
Governo recua e exclui de decreto cadastro de imóveis privados sem utilização - 20/10/2022 - Notícia - Tribuna do Norte,20422,14676,1.3915235759062414,44.51267375306623,93129,0,0
Coluna: Notas e Comentários - Tribuna do Norte,20420,1940,10.525773195876289,473.0139175257732,44004,0,0
Polícia Civil prende Wendel Lagartixa e sargento da PM - 20/07/2022 - Notícia - Tribuna do Norte,20262,16465,1.2306103856665653,50.28029152748254,59390,0,0
"Homem é flagrado filmando partes íntimas de adolescente em loja de Natal, mas foge; vídeo - 27/07/2022 - Notícia - Tribuna do Norte",20101,16747,1.200274676061384,33.913656177225775,53268,0,0
"Tribuna do Norte - Brasil: Notícias, Imagens, Vídeos e Entrevistas",19960,4106,4.8611787627861665,2812.639795421335,54737,0,0
Padre critica divulgação de caso envolvendo pároco e incita violência contra veículos - 06/06/2022 - Notícia - Tribuna do Norte,19835,16956,1.169792403868837,75.19815994338288,54079,0,0
Polícia procura homem que estuprou menino de 10 anos em banheiro de shopping em Natal; vídeo - 28/07/2022 - Notícia - Tribuna do Norte,19808,16437,1.2050860862687838,36.340755612338015,53328,0,0
Antecipação do 13° será definida próxima semana - 14/09/2022 - Notícia - Tribuna do Norte,19754,12697,1.5558005828148382,81.97905016933134,72939,3,0
Rede Jovem Pan se posiciona sobre decisão do TSE: 'censura' - 19/10/2022 - Notícia - Tribuna do Norte,19613,15958,1.2290387266574758,51.46822910139115,89782,0,0
Humorista natalense grava vídeo 'parando' trem e tem conta derrubada em rede social - 06/09/2022 - Notícia - Tribuna do Norte,19523,15187,1.2855073418054916,58.974451833805226,74135,0,0
"Edital do concurso da ALRN é publicado; salários de até R$ 8,3 mil - 22/06/2022 - Notícia - Tribuna do Norte",19109,14909,1.281709034811188,55.11851901535985,70551,0,0
E-Turismo - por Antônio Roberto Rocha,19093,3076,6.207087126137841,76.59557867360208,38545,0,0
"Após bronca ao vivo, músicos de Alcymar Monteiro deixam banda; vídeo - 10/08/2022 - Notícia - Tribuna do Norte",19012,14942,1.272386561370633,69.3959309329407,57160,0,0
Corpo de travesti é encontrado decapitado e sem um dos dedos em policlínica na zona Norte - 14/10/2022 - Notícia - Tribuna do Norte,18929,14019,1.3502389614095156,47.772736999786005,86146,0,0
TN/Difusora/Consult: confira candidatos mais citados para deputado - 27/09/2022 - Notícia - Tribuna do Norte,18849,13906,1.3554580756507981,118.45412052351503,83458,0,0
"Pesquisa Brasmarket: Bolsonaro tem 44,9%; Lula, 31%; Ciro Gomes 6,5% e Simone Tebet 4,5% - 23/09/2022 - Notícia - Tribuna do Norte",18538,14307,1.2957293632487594,36.08464388061788,91793,0,0
Poder Judiciário - por Anelly Medeiros,18453,4084,4.518364348677767,73.95984329089129,39721,0,0
Lagartixa e PM foram presos em investigação de três homicídios e três tentativas - 20/07/2022 - Notícia - Tribuna do Norte,18414,14937,1.2327776661980316,77.55392649126331,50454,0,0
Potiguares relatam tremores de terra no RN; Laboratório Sismológico faz registro - 31/07/2022 - Notícia - Tribuna do Norte,18399,14718,1.2501019160211986,53.92845495311863,51619,0,0
Condomínio apontado como local de morte de juíza do RN nega informação de juiz - 17/05/2022 - Notícia - Tribuna do Norte,18324,15345,1.1941348973607038,97.84672531769306,47119,0,0
Jair Bolsonaro participa de motociata e comício em Natal - 14/09/2022 - Notícia - Tribuna do Norte,18258,13143,1.3891805523853002,72.94940272388344,75425,1,0
Motoristas do Rio Grande do Norte vão à Justiça contra a plataforma Uber - 06/05/2022 - Notícia - Tribuna do Norte,18108,16405,1.1038098140810728,86.80048765620238,56995,0,0
Você está pesquisando por Eleições 2022 no TN Online - Maior produtor de conteúdo jornalístico do RN,18014,2299,7.835580687255328,205.49804262722924,37172,0,0
Natal terá Dia Livre de Impostos com descontos de até 70%; confira - 25/05/2022 - Notícia - Tribuna do Norte,17931,15050,1.1914285714285715,47.30956810631229,51288,0,0
Saiba qual é a premiação para os quatro primeiros colocados da Série D - 28/08/2022 - Notícia - Tribuna do Norte,17834,15037,1.1860078473099687,56.865864201635965,56383,0,0
"Pesquisa TN/Consult: Fátima tem 36, 24%; Styvenson está com 20,12% e Fábio com 13% - 30/08/2022 - Notícia - Tribuna do Norte",17815,13708,1.2996060694484972,61.574044353662096,59874,0,0
Áudios sobre “salve” de facção criminosa espalham medo em Natal - 07/10/2022 - Notícia - Tribuna do Norte,17788,13758,1.292920482628289,138.81930513155982,66334,0,0
Confira todos os candidatos citados para deputado estadual - 31/08/2022 - Notícia - Tribuna do Norte,17711,13357,1.3259714007636445,73.92438421801303,73446,0,0
Prefeito afirma que Natal está sob calamidade pública; veja pronunciamento - 03/07/2022 - Notícia - Tribuna do Norte,17443,14199,1.2284667934361575,36.027044158039295,48050,0,0
Família confirma morte de menino britânico após realizar desafio do Tik Tok - 06/08/2022 - Notícia - Tribuna do Norte,17441,14972,1.1649078279454983,92.96353192626236,59557,0,0
Guarda Municipal não será afetada por decisão do STJ; entenda - 27/08/2022 - Notícia - Tribuna do Norte,17239,15099,1.141731240479502,96.64600304655937,58382,0,0
"Pesquisa Veritá: Bolsonaro tem 51,4%, e Lula tem 48,6% - 21/10/2022 - Notícia - Tribuna do Norte",17185,12909,1.3312417693082346,33.7349136261523,85719,0,0
Confira os pontos de alagamento em Natal neste domingo (3) - 03/07/2022 - Notícia - Tribuna do Norte,17148,14010,1.223982869379015,82.59664525339043,47173,0,0
(other),17143,56092,0.3056229052271269,11.172056621265064,100683,0,0
"Brasil crescerá mais que França, Japão, EUA e Alemanha em 2022 - 13/10/2022 - Notícia - Tribuna do Norte",17107,13613,1.2566664218026886,56.40674355395578,73720,0,0
Pesquisa Brasmarket aponta Bolsonaro com 13 pontos percentuais à frente de Lula - 15/09/2022 - Notícia - Tribuna do Norte,16700,12885,1.296080714008537,36.01311602638727,73828,3,0
Blog #Partiu - por Larissa Cavalcante,16679,2071,8.053597295992274,48.589570255915014,29522,0,0
Miss Universo Brasil 2022 divulga as cinco finalistas; conheça - 05/07/2022 - Notícia - Tribuna do Norte,16631,13862,1.1997547251478864,64.65481171548117,57947,0,0
Pesquisa sinaliza início da definição na proporcional - 13/09/2022 - Notícia - Tribuna do Norte,16468,11936,1.3796916890080428,122.71665549597856,64055,5,0
Bolsonaro lidera na pesquisa Brasmarket - 25/10/2022 - Notícia - Tribuna do Norte,16203,13036,1.2429426204357166,38.024317275237806,79074,0,0
Inmet emite alerta para chuvas de até 100mm em 7 cidades do RN; veja - 22/06/2022 - Notícia - Tribuna do Norte,15909,14210,1.1195636875439832,38.378888106966926,48844,0,0
Médicos investigam doença que paralisa movimentos de crianças - 18/11/2022 - Notícia - Tribuna do Norte,15864,12238,1.2962902435038406,100.40504984474588,106180,0,0
Aeronáutica abre 500 vagas com salário inicial de 5 mil reais - 20/11/2022 - Notícia - Tribuna do Norte,15805,12116,1.304473423572136,38.54671508748762,105519,0,0
Pesquisa mostra que há um empate técnico para o Senado no RN - 30/09/2022 - Notícia - Tribuna do Norte,15793,13114,1.2042854964160439,38.275583346042396,69089,0,0
Carreta com urnas eletrônicas e colide em outra com cloro líquido na BR-101 - 17/09/2009 - Notícia - Tribuna do Norte,15754,11650,1.352274678111588,26.736137339055794,97657,0,0
Bloqueios na avenida Felizardo Moura começam 18 de setembro; obras vão durar nove meses - 02/09/2022 - Notícia - Tribuna do Norte,15746,10184,1.546150824823252,60.97270227808327,59984,0,0
"Gabrilli, vice de Tebet, diz que Lula pagou para evitar citação no caso Celso Daniel - 30/09/2022 - Notícia - Tribuna do Norte",15617,13100,1.1921374045801527,40.265725190839696,80532,0,0
ABC sobe para a Série B após vencer o Paysandu - 17/09/2022 - Notícia - Tribuna do Norte,15605,12195,1.2796227962279623,93.46158261582616,62344,0,0
PF prende empresário que há 18 anos utilizava documentos falsos em Natal - 08/09/2022 - Notícia - Tribuna do Norte,15386,12313,1.2495736213757818,58.52976528871924,55931,0,0
"RN publica lei com novos valores de contribuição previdenciária dos ativos, inativos e pensionistas; veja - 27/05/2022 - Notícia - Tribuna do Norte",15381,10798,1.4244304500833487,91.6903130209298,42154,0,0
Veja top 20 candidatos a deputado estadual com 60% das urnas apuradas no RN - 02/10/2022 - Notícia - Tribuna do Norte,15313,12889,1.1880673442470324,48.46535805725813,55504,0,0
"Aposta do RN leva prêmio de R$ 5,5 milhões da Mega-Sena - 04/08/2022 - Notícia - Tribuna do Norte",15122,10841,1.3948897703163914,41.66239276819481,41158,0,0
Confira as parciais para Deputado Federal - 02/10/2022 - Notícia - Tribuna do Norte,15031,13081,1.1490711719287516,40.43551716229646,57722,0,0
Presidente do PL deve pedir ao TSE anulação das eleições de 2022 - 16/11/2022 - Notícia - Tribuna do Norte,14911,12294,1.212868065723117,48.60143159264682,103793,0,0
"Morre empresário João Paulo Diniz, aos 58 anos, em Paraty - 01/08/2022 - Notícia - Tribuna do Norte",14834,13161,1.127118000151964,39.68535825545171,49542,0,0
"TN/Difusora/Consult: Fátima tem 41%; Styvenson, 18,06%; e Fábio, 17,24% - 27/09/2022 - Notícia - Tribuna do Norte",14803,11907,1.2432182749643068,67.73864113546654,66897,0,0
Bandidos invadem casa e executam homem em Natal - 24/06/2022 - Notícia - Tribuna do Norte,14773,13003,1.1361224332846267,50.88179650849804,41770,0,0
Wendel Lagartixa será julgado pelo TSE e pode perder mandato; entenda - 11/10/2022 - Notícia - Tribuna do Norte,14767,11367,1.29911146300695,80.42975279317322,65050,0,0
Criança de 3 anos morre após ser esquecida no carro na zona Leste de Natal - 14/09/2022 - Notícia - Tribuna do Norte,14594,11309,1.2904766115483244,34.41674772305244,61387,1,0
Marinha faz concurso para admissão de cabos; 40 vagas de ensino médio técnico - 27/07/2022 - Notícia - Tribuna do Norte,14572,12320,1.1827922077922077,40.72345779220779,44467,0,0
Cooperativa de anestesistas comunica fim de contrato com Unimed - 05/08/2022 - Notícia - Tribuna do Norte,14480,12758,1.1349741338767831,52.20598839943565,50221,0,0
Semana do Cinema terá ingressos por R$ 10; veja empresas participantes - 12/09/2022 - Notícia - Tribuna do Norte,14461,11051,1.3085693602388924,28.144783277531445,63550,0,0
Carnatal divulga atrações e preços para os três dias de festa; confira - 13/09/2022 - Notícia - Tribuna do Norte,14424,10301,1.4002524026793515,73.0058246772158,62504,2,0
"Senac/RN faz seleção para vagas de trabalho em Natal e Mossoró; salários de até R$ 3.108,97 - 05/09/2022 - Notícia - Tribuna do Norte",14310,11150,1.283408071748879,50.070941704035874,61681,0,0
Manifestantes vão às ruas em Natal - 30/04/2022 - Notícia - Tribuna do Norte,14212,12617,1.126416739319965,53.40619798684315,40043,0,0
Ponto facultativo do Dia do Servidor Público é transferido no RN - 07/10/2022 - Notícia - Tribuna do Norte,14174,10522,1.3470823037445352,44.71792434898308,52676,0,0
Ministro do TSE decide cassar candidatura Wendell Lagartixa - 20/10/2022 - Notícia - Tribuna do Norte,14159,10292,1.3757287213369607,43.46881072677808,58168,0,0
Veja parciais para Deputado Estadual - 02/10/2022 - Notícia - Tribuna do Norte,13879,11898,1.166498571188435,45.72550008404774,49990,0,0
Augusto Bezerril - Tendência - Moda - Fashion - Estilo - Arte - Cultura,13742,3423,4.0146070698217935,54.39234589541338,30183,0,0
